date,Onega_discharge,Onega_temp,Onega_prcp,Pur_discharge,Pur_temp,Pur_prcp,Yana_discharge,Yana_temp,Yana_prcp
1/1/1939,,,,420,-18.8,1,,,
1/2/1939,,,,410,-16.8,1.2,,,
1/3/1939,,,,400,-20.6,0.9,,,
1/4/1939,,,,395,-31.8,0.1,,,
1/5/1939,,,,395,-24.7,1.4,,,
1/6/1939,,,,395,-24,1.3,,,
1/7/1939,,,,390,-33.3,0,,,
1/8/1939,,,,390,-24.1,0.9,,,
1/9/1939,,,,390,-35.4,0,,,
1/10/1939,,,,388,-35.4,0,,,
1/11/1939,,,,388,-23.1,0.4,,,
1/12/1939,,,,388,-19.6,2.2,,,
1/13/1939,,,,388,-28.8,0.5,,,
1/14/1939,,,,388,-33.4,1,,,
1/15/1939,,,,388,-36.1,0.5,,,
1/16/1939,,,,380,-27.8,0.2,,,
1/17/1939,,,,380,-13.9,5.6,,,
1/18/1939,,,,380,-16,0.2,,,
1/19/1939,,,,380,-7.7,1.6,,,
1/20/1939,,,,380,-6.9,0.4,,,
1/21/1939,,,,372,-9.9,0.3,,,
1/22/1939,,,,372,-15.8,0.8,,,
1/23/1939,,,,365,-26.9,1.3,,,
1/24/1939,,,,370,-27.3,1.3,,,
1/25/1939,,,,367,-33.7,0.6,,,
1/26/1939,,,,362,-37.5,0,,,
1/27/1939,,,,354,-37.6,0.3,,,
1/28/1939,,,,350,-39,0,,,
1/29/1939,,,,342,-23.8,0.2,,,
1/30/1939,,,,342,-15.2,0,,,
1/31/1939,,,,334,-15.5,0.5,,,
2/1/1939,,,,334,-18.8,0.1,,,
2/2/1939,,,,327,-20.8,0.3,,,
2/3/1939,,,,327,-25.8,0.2,,,
2/4/1939,,,,320,-19.2,0.1,,,
2/5/1939,,,,320,-20.3,0,,,
2/6/1939,,,,312,-24,0,,,
2/7/1939,,,,312,-16,0.6,,,
2/8/1939,,,,304,-25.9,0.1,,,
2/9/1939,,,,300,-25.5,0.2,,,
2/10/1939,,,,293,-11.4,0.5,,,
2/11/1939,,,,293,-8.8,0.8,,,
2/12/1939,,,,285,-19.6,2.1,,,
2/13/1939,,,,288,-21.1,0.3,,,
2/14/1939,,,,288,-12.2,0.2,,,
2/15/1939,,,,288,-4.4,0.3,,,
2/16/1939,,,,288,-8.8,0.3,,,
2/17/1939,,,,296,-7.6,2,,,
2/18/1939,,,,296,-6.6,1,,,
2/19/1939,,,,296,-9.4,1.3,,,
2/20/1939,,,,296,-11,0.9,,,
2/21/1939,,,,304,-14.6,0.1,,,
2/22/1939,,,,304,-11.2,2.1,,,
2/23/1939,,,,304,-10.6,0.5,,,
2/24/1939,,,,308,-25.1,0.4,,,
2/25/1939,,,,312,-30.8,0,,,
2/26/1939,,,,312,-18.3,0.8,,,
2/27/1939,,,,308,-12.7,1.1,,,
2/28/1939,,,,304,-8.8,0.9,,,
3/1/1939,,,,304,-10,0.9,,,
3/2/1939,,,,296,-24.6,0,,,
3/3/1939,,,,296,-25.6,0.7,,,
3/4/1939,,,,288,-35.7,0,,,
3/5/1939,,,,288,-32,0.2,,,
3/6/1939,,,,288,-23.5,0.2,,,
3/7/1939,,,,288,-12.3,0.6,,,
3/8/1939,,,,281,-23,0.2,,,
3/9/1939,,,,277,-29,0,,,
3/10/1939,,,,278,-29.6,0.6,,,
3/11/1939,,,,278,-16.8,1.5,,,
3/12/1939,,,,278,-19.9,0.4,,,
3/13/1939,,,,278,-8.4,0.6,,,
3/14/1939,,,,270,-8,0.3,,,
3/15/1939,,,,270,-9.9,0.8,,,
3/16/1939,,,,270,-8.6,0.2,,,
3/17/1939,,,,274,-7.6,0.3,,,
3/18/1939,,,,274,-12.1,0.3,,,
3/19/1939,,,,274,-13.2,3.2,,,
3/20/1939,,,,274,-20.8,0,,,
3/21/1939,,,,266,-6.7,0,,,
3/22/1939,,,,266,-3.4,0,,,
3/23/1939,,,,266,-0.2,0,,,
3/24/1939,,,,266,-3.6,0.4,,,
3/25/1939,,,,258,-11.2,0.2,,,
3/26/1939,,,,258,-15.6,0.3,,,
3/27/1939,,,,258,-20.1,0,,,
3/28/1939,,,,258,-19.8,0.1,,,
3/29/1939,,,,258,-13.6,0.2,,,
3/30/1939,,,,258,-14.7,0,,,
3/31/1939,,,,258,-10.2,0.2,,,
4/1/1939,,,,258,-3.6,0,,,
4/2/1939,,,,258,1.3,2.1,,,
4/3/1939,,,,270,-0.5,5.2,,,
4/4/1939,,,,270,-8.8,0,,,
4/5/1939,,,,278,-8.4,0.1,,,
4/6/1939,,,,270,-14,0,,,
4/7/1939,,,,261,-11.9,0,,,
4/8/1939,,,,261,-4.2,0,,,
4/9/1939,,,,266,-15.8,0.8,,,
4/10/1939,,,,258,-21.3,0,,,
4/11/1939,,,,250,-20.9,0,,,
4/12/1939,,,,250,-11.4,1.1,,,
4/13/1939,,,,242,-9.4,6.2,,,
4/14/1939,,,,234,-10.7,4.9,,,
4/15/1939,,,,234,-18.8,0,,,
4/16/1939,,,,234,-7.4,0,,,
4/17/1939,,,,229,-3.3,0.2,,,
4/18/1939,,,,237,1.1,0.7,,,
4/19/1939,,,,240,-1.2,1.2,,,
4/20/1939,,,,248,2.4,0,,,
4/21/1939,,,,240,2.9,1.2,,,
4/22/1939,,,,232,2.1,0,,,
4/23/1939,,,,224,-1.5,0,,,
4/24/1939,,,,224,4.7,0.8,,,
4/25/1939,,,,216,2.2,0,,,
4/26/1939,,,,208,1.4,2,,,
4/27/1939,,,,227,2.1,0.7,,,
4/28/1939,,,,235,-1.9,0,,,
4/29/1939,,,,254,1.1,0.1,,,
4/30/1939,,,,268,-2.4,0,,,
5/1/1939,,,,286,-3.7,0,,,
5/2/1939,,,,310,-11.5,0,,,
5/3/1939,,,,325,-10.8,0.2,,,
5/4/1939,,,,347,-10.7,0.1,,,
5/5/1939,,,,370,-8.7,0,,,
5/6/1939,,,,378,1.8,1.4,,,
5/7/1939,,,,378,2,2.6,,,
5/8/1939,,,,396,0.1,1.8,,,
5/9/1939,,,,400,0.2,0,,,
5/10/1939,,,,415,2.4,0,,,
5/11/1939,,,,445,3.6,5,,,
5/12/1939,,,,480,3.2,5,,,
5/13/1939,,,,510,1.6,1.5,,,
5/14/1939,,,,551,-5.3,0.9,,,
5/15/1939,,,,600,-9.4,0.1,,,
5/16/1939,,,,638,-2.4,0,,,
5/17/1939,,,,685,3.6,0,,,
5/18/1939,,,,748,-0.5,0,,,
5/19/1939,,,,825,-1.8,0,,,
5/20/1939,,,,961,1,3.7,,,
5/21/1939,,,,1090,-2.2,0,,,
5/22/1939,,,,1210,1.9,0,,,
5/23/1939,,,,1330,3.2,0.2,,,
5/24/1939,,,,1440,0,3.2,,,
5/25/1939,,,,1550,-3.2,0.7,,,
5/26/1939,,,,1640,0.6,0,,,
5/27/1939,,,,1740,2.4,0,,,
5/28/1939,,,,1860,4.2,4,,,
5/29/1939,,,,1940,2.3,0.1,,,
5/30/1939,,,,2050,7,0.2,,,
