Date,PRCP_miroc5.1.rcp26,PRCP_miroc5.1.rcp45,PRCP_miroc5.1.rcp60,PRCP_miroc5.1.rcp85,PRCP_noresm1-me.1.rcp26,PRCP_noresm1-me.1.rcp45,PRCP_noresm1-me.1.rcp60,PRCP_noresm1-me.1.rcp85,TEMP_miroc5.1.rcp26,TEMP_miroc5.1.rcp45,TEMP_miroc5.1.rcp60,TEMP_miroc5.1.rcp85,TEMP_noresm1-me.1.rcp26,TEMP_noresm1-me.1.rcp45,TEMP_noresm1-me.1.rcp60,TEMP_noresm1-me.1.rcp85
12/1/2023,1.202,0.695,1.21,0.622,0.927,1.415,3.494,1.566,12.998,7.442,16.531,13.174,13.394,12.645,13.671,9.808
1/1/2024,0.366,1.115,0.215,3.201,1.764,1.168,1.566,1.757,13.904,9.823,12.535,13.01,10.468,14.815,9.477,6.972
2/1/2024,0.268,0.49,1.807,0.869,0.188,2.273,0.808,2.61,14.863,11.596,10.559,14.041,12.839,14.37,14.962,10.472
3/1/2024,3.649,1.513,0.357,2.284,1.929,2.756,1.562,1.819,19.115,17.729,16.52,17.319,12.88,18.262,17.771,16.84
4/1/2024,2.441,2.092,3.069,5.46,0.406,2.265,1.422,4.424,23.314,22.614,21.975,20.254,20.342,19.007,24.417,19.85
5/1/2024,6.152,6.167,3.211,5.059,2.056,6.084,5.007,3.814,25.65,25.217,23.954,24.982,24.837,23.923,25.352,24.199
6/1/2024,3.102,2.424,4.559,1.736,2.482,6.398,3.307,2.637,29.228,28.91,28.076,29.296,28.532,28.2,28.052,28.509
7/1/2024,3.495,0.139,1.386,0.134,0.344,1.119,1.914,1.225,29.238,31.646,30.534,32.433,30.967,30.279,29.526,31.142
8/1/2024,1.07,0.636,8.021,0.885,2.783,2.502,4.67,1.938,29.248,32.608,29.065,32.684,30.647,29.479,28.606,29.868
9/1/2024,0.946,2.067,1.105,2.853,2.17,3.162,2.613,5.385,27.717,27.651,27.693,26.889,28.124,27.527,27.776,26.989
10/1/2024,0.369,3.596,0.684,3.33,4.586,1.669,6.858,1.389,22.677,24.592,23.244,22.152,22.945,22.819,21.149,21.654
11/1/2024,1.207,3.229,0.251,1.975,1.925,0.792,2.709,1.664,19.829,16.94,16.265,15.502,10.785,15.864,13.654,17.045
12/1/2024,2.982,3.734,3.65,0.864,1.014,1.308,0.323,0.221,10.091,12.716,16.298,12.893,13.955,11.185,14.433,12.743
1/1/2025,0.629,0.613,0.721,0.474,0.906,2.607,2.046,3.835,12.351,10.375,11.045,9.282,15.139,10.605,11.553,13.742
2/1/2025,0.303,2.937,0.409,3.596,2.307,2.243,1.642,2.641,17.894,13.775,13.13,15.078,13.456,12.886,16.185,13.431
3/1/2025,0.653,2.596,1.016,1.785,1.842,0.624,1.899,2.094,21.388,18.988,14.237,16.069,16.786,16.932,17.757,15.701
4/1/2025,1.447,2.288,1.221,1.002,2.153,0.624,3.471,2.033,22.347,24.325,20.074,21.802,19.467,21.729,21.574,21.102
5/1/2025,1.247,1.835,1.67,1.489,2.094,1.124,2.825,5.746,26.339,27.083,25.535,24.761,25.048,28.613,23.958,23.681
6/1/2025,1.597,1.253,1.532,3.015,5.046,2.679,1.108,4.259,30.567,30.406,28.812,29.163,29.239,29.94,28.314,27.385
7/1/2025,0.226,0.213,0.135,0.135,0.378,3.049,2.218,6.884,33.652,33.356,30.677,31.928,30.093,29.623,29.732,27.311
8/1/2025,0.371,1.111,0.564,13.727,1.727,1.273,1.164,1.377,33.44,31.213,31.935,30.156,30.827,30.727,29.801,28.459
9/1/2025,1.873,2.027,1.3,0.81,2.467,1.383,3.294,3.526,28.616,26.308,27.834,27.941,28.683,28.185,26.803,26.249
10/1/2025,3.06,1.349,4.094,6.798,7.685,2.692,1.608,4.473,22.415,23.066,22.92,23.176,23.404,21.245,21.005,22.584
11/1/2025,0.802,1.77,3.545,0.08,2.787,1.174,3,2.671,16.458,14.551,15.058,15.121,15.526,17.936,13.548,13.917
12/1/2025,1.457,1.358,3.007,0.561,3.141,0.204,0.794,2.836,12.73,13.727,14.332,12.275,11.653,16.161,9.822,5.685
1/1/2026,0.244,5.321,2.98,0.876,1.525,1.307,0.71,1.419,14.714,9.357,12.607,12.174,12.448,14.091,8.482,8.521
2/1/2026,1.227,2.762,1.619,0.977,0.331,2.132,4.68,1.679,13.938,14.753,15.542,11.23,12.991,13.744,16.389,10.528
3/1/2026,5.415,3.793,0.548,0.152,2.099,0.481,1.955,1.28,18.313,15.933,20.844,20.642,15.716,20.231,17.862,18.004
4/1/2026,0.131,4.245,1.594,2.304,0.837,1.548,3.905,3.094,24.42,20.409,22.055,23.713,19.518,24.633,19.379,20.235
5/1/2026,1.128,0.608,1.546,5.172,1.185,2.569,3.534,4.806,27.284,25.5,25.121,25.791,25.102,26.652,24.231,24.446
6/1/2026,5.279,2.377,0.848,0.997,4.39,2.536,3.111,5.578,27.679,28.468,30.109,30.029,29.074,29.888,28.265,27.759
7/1/2026,2.412,0.75,1.754,1.536,0.385,7.663,2.635,1.37,30.346,31.334,31.105,32.864,30.487,30.498,28.265,29.345
8/1/2026,2.668,1.341,2.449,8.313,1.419,1.253,2.53,4.069,30.446,32.149,28.905,30.224,29.995,28.628,29.196,29.761
9/1/2026,3.598,3.562,3.261,3.803,3.98,5.052,2.494,5.215,25.869,27.048,26.95,26.135,28.112,25.939,27.177,26.262
10/1/2026,0.275,1.228,0.035,0.002,9.633,5.914,2.103,1.135,23.729,22.661,23.933,24.404,20.917,21.016,21.511,21.57
11/1/2026,2.121,5.128,3.663,0.978,1.25,1.372,2.083,0.16,15.308,17.058,16.821,17.551,15.306,15.369,17.977,14.089
12/1/2026,1.656,5.371,3.679,1.631,1.124,3.159,1.658,1.028,10.874,13.582,7.788,17.215,11.728,14.821,13.03,12.175
1/1/2027,0.957,1.545,0.436,0.966,1.376,1.599,0.684,0.512,9.558,10.048,9.953,9.185,9.927,8.401,9.137,10.285
2/1/2027,2.715,3.415,2.016,0.899,2.669,1.909,1.809,3.434,14.064,12.101,11.457,7.48,12.57,15.32,14.587,14.519
3/1/2027,1.2,0.697,1.02,1.487,0.501,0.341,1.17,0.679,15.492,17.355,17.632,11.8,14.856,14.823,17.965,17.183
4/1/2027,1.381,1.344,5.86,1.544,2.531,0.442,1.821,3.14,21.108,22.465,21.694,20.866,22.551,22.216,24.321,23.579
5/1/2027,5.476,2.681,0.988,1.333,3.833,4.508,2.938,6.249,24.466,25.458,26.034,26.301,24.987,25.504,25.848,24.647
6/1/2027,2.486,3.152,0.853,0.501,2.962,8.129,7.967,0.85,28.861,29.464,28.776,30.427,29.485,27.383,27.7,29.608
7/1/2027,1.941,0.903,0.653,0.139,1.497,0.396,0.914,0.162,30.374,31.764,32.191,33.267,30.005,29.554,30.301,29.914
8/1/2027,1.279,2.781,0.623,1.709,1.38,1.608,1.245,0.337,31.07,31.317,32.052,32.585,29.537,31.061,31.96,30.781
9/1/2027,5.717,0.297,2.373,2.796,4.077,1.067,1.65,1.608,25.219,30.304,27.84,27.669,27.941,29.668,27.396,30.144
10/1/2027,18.55,2.019,0.704,0.173,6.985,0.869,8.448,3.422,21.262,22.592,23.504,23.229,21.711,22.617,24.087,24.042
11/1/2027,0.943,0.193,1.877,2.248,2.171,1.011,2.113,3.526,17.873,17.45,17.241,15.887,16.695,13.83,14.768,16.688
12/1/2027,4.747,1.222,0.554,5.018,0.158,2.326,1.395,1.398,11.283,13.882,10.588,11.886,10.681,7.89,13.528,17.857
1/1/2028,1.033,0.615,1.061,0.62,2.35,2.003,2.479,1.407,9.897,12.062,10.16,11.144,12.493,11.333,11.283,16.683
2/1/2028,2.586,1.157,1.931,5.311,2.647,1.838,0.512,1.369,10.014,11.62,10.744,14.612,14.149,11.764,14.133,13.421
3/1/2028,3.067,1.221,1.638,1.119,0.936,1.42,1.79,1.007,16.75,15.09,17.882,16.907,16.168,17.621,14.827,18.208
4/1/2028,1.819,2.156,0.685,1.178,7.61,6.167,3.945,1.281,22.101,23.718,22.415,21.51,20.574,20.825,21.224,25.021
5/1/2028,6.513,0.827,5.714,3.91,3.644,10.43,4.946,5.871,25.764,29.671,24.333,24.568,23.954,25.258,25.362,25.461
6/1/2028,3.796,0.98,0.497,0.704,0.295,5.124,2.608,3.109,28.432,31.957,30.603,29.505,28.481,27.312,28.381,27.932
7/1/2028,3.184,0.269,2.999,0.222,0.28,1.722,1.301,1.339,30.314,32.972,30.935,32.934,30.898,29.528,30.333,30.016
8/1/2028,2.095,1.876,1.531,1.786,3.119,1.441,1.387,1.781,31.231,33.196,30.244,33.302,29.751,31.267,30.472,29.844
9/1/2028,4.141,1.631,2.525,0.944,0.988,2.524,3.012,5.723,26.14,29.278,27.528,28.392,25.767,27.383,27.989,27.534
10/1/2028,0.132,2.103,6.012,1.688,9.149,5.682,3.64,7.747,22.907,23.593,23.945,25.048,22.002,21.306,21.189,22.226
11/1/2028,3.392,0.123,4.796,0.132,1.079,1.36,0.511,3.436,15.431,17.403,16.973,17.009,14.24,15.559,16.88,14.368
12/1/2028,1.491,6.658,0.941,2.689,0.39,1.986,0.294,2.476,13.377,14.57,13.661,12.632,10.491,13.18,14.455,13.388
1/1/2029,1.942,0.286,0.831,3.116,0.013,0.754,1.629,2.647,16.162,10.147,13.889,12.562,11.53,11.844,14.54,6.581
2/1/2029,1.31,2.194,2.507,1.684,0.604,1.458,2.891,1.333,12.126,12.13,13.497,12.294,12.675,15.27,10.625,12.828
3/1/2029,0.648,0.931,0.181,1.452,0.267,1.443,0.821,0.211,16.99,16.519,17.49,17.029,16.306,14.128,16.809,21.185
4/1/2029,2.429,1.478,3.542,1.565,0.501,0.575,1.276,5.863,21.723,22.226,23.879,22.053,24.379,19.461,21.421,22.53
5/1/2029,2.628,1.372,1.035,6.035,2.337,3.801,3.818,5.889,24.371,26.83,26.073,27.367,25.387,23.729,23.827,25.001
6/1/2029,4.082,4.181,1.081,5.122,0.841,2.945,0.32,4.458,27.803,28.037,29.712,29.296,30.696,28.854,29.219,27.834
7/1/2029,1.776,0.261,0.225,0.678,3.153,0.535,0.497,1.727,30.966,30.793,32.094,31.259,29.525,30.505,30.234,29.161
8/1/2029,0.958,6.153,11.641,2.094,2.283,2.052,1.201,1.467,30.058,29.306,28.617,30.92,28.88,31.177,30.535,29.685
9/1/2029,1.656,1.07,3.144,2.452,6.016,4.233,1.485,5.147,27.313,27.733,25.808,28.142,25.368,27.765,28.753,25.875
10/1/2029,1.621,1.352,0.313,5.316,1.102,1.118,1.442,3.051,24.118,23.621,23.631,22.453,21.641,21.653,22.421,21.262
11/1/2029,1.138,0.973,2.352,0.339,5.936,4.553,1.126,4.64,17.842,17.051,14.448,17.65,15.115,16.989,16.342,18.999
12/1/2029,1.978,1.288,2.528,0.575,0.891,1.525,1.239,2.912,11.397,7.947,13.896,14.198,15.116,10.394,13.617,12.646
1/1/2030,1.095,1.217,1.989,1.314,3.157,0.737,1.636,1.611,11.229,12.681,7.246,11.832,9.007,6.299,11.796,12.43
2/1/2030,0.233,0.43,0.329,0.917,2.444,2.382,2.479,2.475,15.156,17.193,11.672,11.681,11.868,15.266,13.922,15.265
3/1/2030,0.875,4.104,0.897,0.165,0.941,1.135,2.719,1.002,17.778,15.491,15.606,18.524,15.267,18.381,20.948,13.861
4/1/2030,1.534,3.998,0.816,1.975,0.115,0.692,0.104,0.104,22.801,20.744,21.4,24.237,21.745,20.938,23.188,19.574
