DATE,Baron_discharge_m3s,Hueco_discharge_m3s,Jacobs_discharge_m3s,PRCP_mm,T_AVER,Barton Ck360,Colorado Rv,Bear Ck,Onion Ck,Walnut Ck
3/1/78,1.160990727,,,0,10.3,0,2.0954432,,,0.17839584
3/2/78,1.160990727,,,0.254,16.1,0,1.699008,,,0.17273248
3/3/78,1.13267388,,,0.508,4.7,0,1.6706912,,,0.17273248
3/4/78,1.13267388,,,0,1.9,0,1.2176224,,,0.16140576
3/5/78,1.13267388,,,0,7.5,0,0.9344544,,,0.15291072
3/6/78,1.160990727,,,14.224,14.4,0,3.1997984,,,0.70792
3/7/78,1.160990727,,,0,11.4,0,1.7839584,,,0.6229696
3/8/78,1.13267388,,,0,6.1,0,2.0104928,,,0.24635616
3/9/78,1.13267388,,,0,9.2,0,1.3592064,,,0.20671264
3/10/78,1.189307574,,,0,13.6,0,0.7362368,,,0.18689088
3/11/78,1.160990727,,,0,19.4,0,2.4918784,,,0.17839584
3/12/78,1.189307574,,,0,12.8,0,0.5946528,,,0.16140576
3/13/78,1.13267388,,,0,20,0,1.8972256,,,0.16140576
3/14/78,1.189307574,,,0,18.9,0,0.7645536,,,0.15291072
3/15/78,1.160990727,,,0,18.1,0,20.104928,,,0.14724736
3/16/78,1.160990727,,,0,12.2,0,19.7934432,,,0.13308896
3/17/78,1.104357033,,,0,14.7,0,20.7845312,,,0.1274256
3/18/78,1.104357033,,,0,15.8,0,19.7084928,,,0.12176224
3/19/78,1.13267388,,,0,18.6,0,20.5013632,,,0.12176224
3/20/78,1.104357033,,,0,21.4,0,19.7651264,,,0.11609888
3/21/78,1.104357033,,,0,22.8,0,19.4819584,,,0.11609888
3/22/78,1.104357033,,,0,21.4,0,20.7845312,,,0.11609888
3/23/78,1.13267388,,,6.35,19.4,0,19.11384,,,0.22370272
3/24/78,0.934455951,,,0,13.6,0,25.6550208,,,0.849504
3/25/78,0.962772798,,,0,11.4,0,27.9769984,,,0.1699008
3/26/78,0.962772798,,,0,13.3,0,25.7966048,,,0.13025728
3/27/78,0.962772798,,,0,15.3,0,26.1080896,,,0.11609888
3/28/78,0.962772798,,,0,16.9,0,43.607872,,,0.11609888
3/29/78,0.934455951,,,0,16.9,0,43.89104,,,0.11043552
3/30/78,0.934455951,,,0,17.8,0,43.89104,,,0.11043552
3/31/78,0.877822257,,,0,19.2,0,43.324704,,,0.10477216
4/1/78,0.906139104,,,0,21.9,0,42.758368,,,0.0991088
4/2/78,0.906139104,,,0,21.9,0,43.041536,,,0.0991088
4/3/78,0.906139104,,,0,24.2,0,43.89104,,,0.09344544
4/4/78,0.906139104,,,0,24.7,0,54.368256,,,0.08778208
4/5/78,0.906139104,,,0,22.8,0,54.651424,,,0.07928704
4/6/78,0.906139104,,,0,23.1,0,53.235584,,,0.10477216
4/7/78,0.877822257,,,0,23.3,0,55.784096,,,0.09344544
4/8/78,0.877822257,,,0,21.9,0,58.332608,,,0.0849504
4/9/78,0.877822257,,,0,23.3,0,56.916768,,,0.08211872
4/10/78,0.877822257,,,39.37,18.1,0,58.04944,,,7.1641504
4/11/78,0.906139104,,,0.762,15.6,0,26.4478912,,,0.4813856
4/12/78,0.906139104,,,0,15.3,0,45.590048,,,0.3114848
4/13/78,0.877822257,,,0,16.7,0,46.156384,,,0.24635616
4/14/78,0.84950541,,,0,19.2,0,57.766272,,,0.20671264
4/15/78,0.877822257,,,0,22.2,0,58.898944,,,0.1840592
4/16/78,0.877822257,,,0,23.1,0,60.314784,,,0.16423744
4/17/78,0.877822257,,,1.524,23.6,0,59.748448,,,0.16140576
4/18/78,0.877822257,,,0,23.3,0,58.898944,,,0.16706912
4/19/78,0.877822257,,,0,18.9,0,58.615776,,,0.13308896
4/20/78,0.877822257,,,0,16.9,0,39.360352,,,0.12176224
4/21/78,0.84950541,,,0,18.1,0,56.6336,,,0.12176224
4/22/78,0.84950541,,,2.032,19.2,0,62.580128,,,0.11893056
4/23/78,0.84950541,,,0,20,0,60.031616,,,0.1274256
4/24/78,0.84950541,,,0,25,0,59.182112,,,0.11893056
4/25/78,0.84950541,,,0,21.1,0,61.447456,,,0.13592064
