Date,Ob_Temperature (C),Ob_Observed discharge (mm),Ob_Precipitation (mm),Ob_Potential evapotranspiration (mm),Yenisei_Temperature (C),Yenisei_Observed discharge (mm),Yenisei_Precipitation (mm),Yenisei_Potential evapotranspiration (mm),Lena_Temperature (C),Lena_Observed discharge (mm),Lena_Precipitation (mm),Lena_Potential evapotranspiration (mm),Kolyma_Temperature (C),Kolyma_Observed discharge (mm),Kolyma_Precipitation (mm),Kolyma_Potential evapotranspiration (mm),Yukon_Temperature (C),Yukon_Observed discharge (mm),Yukon_Precipitation (mm),Yukon_Potential evapotranspiration (mm),Mackenzie_Temperature (C),Mackenzie_Observed discharge (mm),Mackenzie_Precipitation (mm),Mackenzie_Potential evapotranspiration (mm)
1/1/1936,-18.39697802,4.12494102,14.45477013,1.989450471,-30.53057011,4.3507584,14.54884318,0.808349435,-40.34653917,3.21624,7.056911664,0.035460568,-38.33527602,,14.12543055,0.472144283,-24.62424305,,7.804178,2.392982532,-29.39401128,,17.63590033,2.527454243
2/1/1936,-16.91489097,3.04333017,12.82221411,4.625659632,-25.7436075,3.9187584,11.47574964,2.441811005,-33.15611125,2.22732,5.189451949,1.201204014,-31.82124209,,11.29541113,0.383567129,-27.52727522,,9.35681,3.408772142,-31.04525985,,10.61774589,3.877121391
3/1/1936,-12.3067576,2.73082576,15.93339522,14.38604458,-17.15818933,4.0044672,9.057013186,13.71605701,-22.5204696,1.6956,5.620017826,8.437749028,-30.44669417,,5.523407166,4.423246777,-16.9138756,,15.04121,16.74593362,-15.6488356,,14.08731186,16.34592472
4/1/1936,-1.380604503,2.3547661,15.5297036,46.24450952,-5.962171218,4.169664,11.05961484,36.55105973,-7.425286207,1.31076,6.050680125,30.27633823,-13.81563126,,8.350600615,16.94789542,-6.478628545,,6.853509,38.267942,-7.571630291,,16.23588468,37.32030072
5/1/1936,6.795879121,7.01919458,30.20773523,91.3478022,3.329415794,12.7678464,31.55263528,68.83513264,4.183503796,8.16228,20.8193036,73.0058435,-1.605010069,,8.810420646,50.9915862,3.549920333,,18.54292,70.98357619,5.273794165,,23.49316406,83.62005118
6/1/1936,15.30499979,26.2450983,31.65563187,129.3626374,9.056390996,95.088384,56.97382286,85.86127544,10.486334,68.8212,62.10729606,87.90307749,9.096994771,,28.14202233,90.94990274,11.69521593,,31.04198,104.224871,10.88186356,,47.61847219,102.4767152
7/1/1936,17.67950507,23.720461,49.01042239,123.5298968,16.22157996,41.188608,79.62137223,100.7370604,16.60879177,42.3216,55.4443718,105.0509879,12.03306515,,38.65767472,94.36672588,11.86634722,,54.04367,88.87655985,14.1985038,,83.96139399,104.4431831
8/1/1936,14.42609783,21.5150644,52.8401614,88.87121045,11.78008967,27.236736,76.22829359,66.53153695,12.69434005,26.0064,72.38800045,67.7390172,9.276954299,,37.24916239,61.22344689,10.71929825,,51.99208,66.87990793,12.72986673,,46.32872496,83.02687314
9/1/1936,10.15989118,10.5320136,39.93759444,59.89615707,6.537058571,19.363968,38.03783819,40.42196344,5.618784335,29.5092,34.17459362,34.87116548,1.21462921,,25.47452718,27.31863691,2.682296729,,33.17234,32.99043062,4.290099996,,48.71618061,35.79034942
10/1/1936,3.455220049,9.23835661,33.20453297,32.58917666,-2.528131209,17.73792,35.11017783,15.95992244,-8.666225518,20.35728,29.61835161,5.929380119,-10.77995933,,14.87200475,5.237073864,-4.549761077,,47.38215,10.0861244,-2.734525912,,32.56265325,15.68053402
