Date,access1-0.1.rcp45,access1-0.1.rcp85,access1-3.1.rcp45,access1-3.1.rcp85,bcc-csm1-1.1.rcp26,bcc-csm1-1.1.rcp45,bcc-csm1-1.1.rcp60,bcc-csm1-1.1.rcp85,bcc-csm1-1-m.1.rcp45,bcc-csm1-1-m.1.rcp85,canesm2.1.rcp26,canesm2.2.rcp26,canesm2.3.rcp26,canesm2.4.rcp26,canesm2.5.rcp26,canesm2.1.rcp45,canesm2.2.rcp45,canesm2.3.rcp45,canesm2.4.rcp45,canesm2.5.rcp45,canesm2.1.rcp85,canesm2.2.rcp85,canesm2.3.rcp85,canesm2.4.rcp85,canesm2.5.rcp85,ccsm4.1.rcp26,ccsm4.2.rcp26,ccsm4.3.rcp26,ccsm4.4.rcp26,ccsm4.5.rcp26,ccsm4.1.rcp45,ccsm4.2.rcp45,ccsm4.3.rcp45,ccsm4.4.rcp45,ccsm4.5.rcp45,ccsm4.1.rcp60,ccsm4.2.rcp60,ccsm4.3.rcp60,ccsm4.4.rcp60,ccsm4.5.rcp60,ccsm4.1.rcp85,ccsm4.2.rcp85,ccsm4.3.rcp85,ccsm4.4.rcp85,ccsm4.5.rcp85,cesm1-bgc.1.rcp45,cesm1-bgc.1.rcp85,cesm1-cam5.1.rcp26,cesm1-cam5.2.rcp26,cesm1-cam5.3.rcp26,cesm1-cam5.1.rcp45,cesm1-cam5.2.rcp45,cesm1-cam5.3.rcp45,cesm1-cam5.1.rcp60,cesm1-cam5.3.rcp60,cesm1-cam5.1.rcp85,cesm1-cam5.2.rcp85,cesm1-cam5.3.rcp85,cmcc-cm.1.rcp45,cmcc-cm.1.rcp85,cnrm-cm5.1.rcp45,cnrm-cm5.1.rcp85,cnrm-cm5.2.rcp85,cnrm-cm5.4.rcp85,cnrm-cm5.6.rcp85,cnrm-cm5.10.rcp85,csiro-mk3-6-0.1.rcp26,csiro-mk3-6-0.2.rcp26,csiro-mk3-6-0.3.rcp26,csiro-mk3-6-0.4.rcp26,csiro-mk3-6-0.5.rcp26,csiro-mk3-6-0.6.rcp26,csiro-mk3-6-0.7.rcp26,csiro-mk3-6-0.8.rcp26,csiro-mk3-6-0.9.rcp26,csiro-mk3-6-0.10.rcp26,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp60,csiro-mk3-6-0.2.rcp60,csiro-mk3-6-0.3.rcp60,csiro-mk3-6-0.4.rcp60,csiro-mk3-6-0.5.rcp60,csiro-mk3-6-0.6.rcp60,csiro-mk3-6-0.7.rcp60,csiro-mk3-6-0.8.rcp60,csiro-mk3-6-0.9.rcp60,csiro-mk3-6-0.10.rcp60,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,ec-earth.8.rcp26,ec-earth.12.rcp26,ec-earth.2.rcp45,ec-earth.8.rcp45,ec-earth.12.rcp45,ec-earth.6.rcp85,ec-earth.8.rcp85,ec-earth.12.rcp85,fgoals-g2.1.rcp26,fgoals-g2.1.rcp45,fgoals-g2.1.rcp85,fgoals-s2.2.rcp45,fgoals-s2.2.rcp85,fgoals-s2.3.rcp85,fio-esm.1.rcp26,fio-esm.2.rcp26,fio-esm.3.rcp26,fio-esm.1.rcp45,fio-esm.2.rcp45,fio-esm.3.rcp45,fio-esm.1.rcp60,fio-esm.2.rcp60,fio-esm.3.rcp60,fio-esm.1.rcp85,fio-esm.2.rcp85,fio-esm.3.rcp85,gfdl-cm3.1.rcp26,gfdl-cm3.1.rcp45,gfdl-cm3.1.rcp60,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp26,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp60,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp26,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp60,gfdl-esm2m.1.rcp85,giss-e2-h-cc.1.rcp45,giss-e2-r.1.rcp26,giss-e2-r.1.rcp45,giss-e2-r.2.rcp45,giss-e2-r.3.rcp45,giss-e2-r.4.rcp45,giss-e2-r.5.rcp45,giss-e2-r.1.rcp60,giss-e2-r.1.rcp85,giss-e2-r-cc.1.rcp45,hadgem2-ao.1.rcp26,hadgem2-ao.1.rcp45,hadgem2-ao.1.rcp60,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp45,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp26,hadgem2-es.2.rcp26,hadgem2-es.3.rcp26,hadgem2-es.4.rcp26,hadgem2-es.1.rcp45,hadgem2-es.2.rcp45,hadgem2-es.3.rcp45,hadgem2-es.4.rcp45,hadgem2-es.1.rcp60,hadgem2-es.2.rcp60,hadgem2-es.3.rcp60,hadgem2-es.4.rcp60,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,inmcm4.1.rcp45,inmcm4.1.rcp85,ipsl-cm5a-lr.1.rcp26,ipsl-cm5a-lr.2.rcp26,ipsl-cm5a-lr.3.rcp26,ipsl-cm5a-lr.1.rcp45,ipsl-cm5a-lr.2.rcp45,ipsl-cm5a-lr.3.rcp45,ipsl-cm5a-lr.4.rcp45,ipsl-cm5a-lr.1.rcp60,ipsl-cm5a-lr.1.rcp85,ipsl-cm5a-lr.2.rcp85,ipsl-cm5a-lr.3.rcp85,ipsl-cm5a-lr.4.rcp85,ipsl-cm5a-mr.1.rcp26,ipsl-cm5a-mr.1.rcp45,ipsl-cm5a-mr.1.rcp60,ipsl-cm5a-mr.1.rcp85,ipsl-cm5b-lr.1.rcp45,ipsl-cm5b-lr.1.rcp85,miroc-esm.1.rcp26,miroc-esm.1.rcp45,miroc-esm.1.rcp60,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp26,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp60,miroc-esm-chem.1.rcp85,miroc5.1.rcp26,miroc5.1.rcp45,miroc5.1.rcp60,miroc5.1.rcp85,mpi-esm-lr.1.rcp26,mpi-esm-lr.2.rcp26,mpi-esm-lr.3.rcp26,mpi-esm-lr.1.rcp45,mpi-esm-lr.2.rcp45,mpi-esm-lr.3.rcp45,mpi-esm-lr.1.rcp85,mpi-esm-lr.2.rcp85,mpi-esm-lr.3.rcp85,mpi-esm-mr.1.rcp26,mpi-esm-mr.1.rcp45,mpi-esm-mr.1.rcp85,mri-cgcm3.1.rcp26,mri-cgcm3.1.rcp45,mri-cgcm3.1.rcp85,noresm1-m.1.rcp26,noresm1-m.1.rcp45,noresm1-m.1.rcp60,noresm1-m.1.rcp85,noresm1-me.1.rcp26,noresm1-me.1.rcp45,noresm1-me.1.rcp60,noresm1-me.1.rcp85
4/1/23,1.524,9.597,1.242,1.914,0.143,1.473,2.856,5.956,3.992,1.126,3.123,4.628,0.249,1.842,2.295,1.442,1.272,4.174,0.867,1.153,1.569,1.329,1.605,1.218,2.276,2.487,2.579,1.807,3.941,4.167,0.265,3.671,1.386,3.113,1.27,2.503,1.399,0.926,6.131,2.985,0.703,0.463,2.435,3.311,1.099,2.319,2.915,0.934,2.172,4.341,0.136,3.79,3.334,2.943,4.312,0.604,0.176,4.341,4.583,3.151,1.364,1.779,2.156,1.485,2.782,0.983,2.705,3.008,2.424,0.988,0.852,4.774,2.591,1.799,1.657,3.523,2.319,1.08,0.197,1.364,0.942,5.682,3.196,3.021,1.259,0.86,1.941,1.703,1.515,0.592,2.259,0.557,1.634,1.709,1.873,1.394,1.481,1.313,7.982,4.82,5.467,1.892,1.357,0.302,0.833,2.109,4.106,0.715,4.345,2.709,2.187,2.125,1.881,0.908,4.167,0.18,4.231,0.595,2.527,7.667,1.154,4.066,2.173,2.198,1.688,0.679,0.498,3.027,3.11,0.865,2.468,4.47,2.188,4.115,3.14,1.422,0.718,5.146,4.149,1.656,1.457,1.486,1.415,3.325,1.78,0.708,1.829,3.079,1.506,2.815,3.252,2.977,1.248,2.579,0.54,7.52,1.436,0.72,2.371,1.184,3.05,1.689,1.179,1.556,3.434,3.233,2.238,2.532,3.68,3.5,3.124,0.328,0.119,3.885,0.313,0.472,2.967,2.257,0.912,1.117,3.08,3.124,3.42,0.438,2.404,0.25,2.977,3.353,6.584,5.088,2.687,1.621,1.177,3.592,3.814,3.299,9.156,0.971,3.331,1.119,0.627,1.101,1.484,1.533,1.302,0.157,2.983,4.487,1.644,3.735,0.313,2.491,2.345,1.884,1.38,0.104,1.951,1.141,1.761,1.291,3.439,1.647,4.898,1.452,3.176,2.04,3.026,3.487,2.237,8.022,0.502
5/1/23,5.865,6.08,5.91,3.339,4.972,1.465,0.834,2.39,5.425,0.827,2.9,3.839,6.538,1.726,3.416,1.253,3.572,2.313,0.921,1.146,3.166,2.049,1.496,3.573,2.848,0.972,4.544,5.112,1.749,1.442,2.701,6.081,1.966,1.897,5.984,2.6,5.748,4.435,4.697,1.897,3.446,3.703,5.189,2.416,1.946,3.012,2.118,1.29,6.644,4.503,1.314,6.666,1.964,7.425,4.351,6.248,1.784,4.503,3.544,0.997,1.41,4.933,4.161,2.923,2.167,1.965,7.068,4.711,4.72,7.184,4.68,3.105,3.021,1.883,4.846,4.506,3.985,4.814,1.49,3.618,2.652,5.402,4.21,1.007,5.719,4.106,1.5,5.447,5.79,2.657,0.757,2.195,2.19,1.854,1.842,0.65,2.829,5.498,0.854,3.416,4.501,6.329,1.878,4.734,2.167,5.474,10.728,3.132,1.742,4.074,7.681,0.91,5.937,2.765,2.274,3.137,4.468,3.77,5.665,2.26,2.179,2.658,1.674,4.677,4.656,4.103,3.518,4.251,1.392,4.643,5.082,5.434,4.322,2.788,5.831,10.3,1.144,6.179,5.91,2.051,7.169,1.811,1.958,2.253,3.731,2.307,13.304,2.867,0.977,5.949,4.724,1.428,2.757,2.963,1.853,3.526,1.285,3.993,1.947,1.247,8.146,4.706,3.045,4.513,3.233,1.454,0.974,2.695,1.745,2.88,4.748,5.282,5.922,3.058,4.54,4.523,5.355,0.688,2.512,5.702,5.565,6.342,1.347,5.626,3.04,6.249,1.846,0.493,2.646,1.751,3.894,0.889,1.269,4.496,6.933,5.315,2.535,2.79,5.683,3.513,0.983,1.217,3.348,4.315,5.141,3.535,1.421,1.874,4.576,1.485,5.21,2.736,1.574,9.052,3.918,0.852,1.877,5.862,3.755,3.982,2.69,2.844,0.906,2.1,2.036,5.272,3.138,1.998,1.461,0.518,0.876
6/1/23,0.974,0.352,1.345,1.63,4.17,0.842,3.253,2.769,2.657,0.61,3.56,3.396,3.378,2.895,2.736,7.116,2.699,3.973,8.541,4.531,3.53,3.468,3.452,0.566,7.286,1.591,3.392,0.85,4.628,2.705,4.047,1.007,3.265,10.98,1.481,1.584,3.371,1.99,0.813,3.431,8.661,1.618,9.007,2.868,7.833,0.512,1.041,2.861,5.607,1.728,0.41,3.434,12.009,3.736,0.57,0.631,0.73,1.728,4.56,3.764,3.347,2.511,1.843,5.432,2.247,1.848,3.942,3.423,2.522,2.938,4.483,0.639,2.926,2.128,0.399,0.375,1.681,1.302,10.697,4.25,3.22,1.205,1.638,2.713,2.734,2.367,1.665,1.036,2.465,3.663,2.58,5.275,1.678,1.432,12.144,3.626,5.098,3.337,1.001,8.19,4.449,6.725,2.403,3.229,3.931,3.645,7.445,3.763,0.867,3.126,1.992,2.971,6.129,2.49,5.102,3.332,2.891,4.6,1.182,2.149,1.017,1.492,0.347,9.593,1.787,5.74,3.686,7.826,2.824,0.798,1.746,2.12,0.856,2.686,2.415,3.605,0.571,4.486,2.172,9.782,3.596,1.239,1.635,0.103,4.237,4.477,1.902,0.909,0.1,4.995,2.986,4.67,3.6,4.686,3.291,2.617,3.468,1.451,1.648,3.762,2.213,1.415,1.217,5.582,3.396,1.699,3.925,4.435,0.849,2.009,3.502,4.803,3.026,4.202,2.686,3.456,5.83,1.77,2.282,3.428,4.396,9.527,3.852,0.844,2.867,2.898,1.874,1.076,0.368,0.365,3.381,2.235,3.51,4.354,0.787,1.879,1.919,1.999,5.265,0.685,5.391,0.686,1.986,2.958,2.781,3.408,3.488,2.224,1.266,2.982,0.625,2.554,10.166,3.275,6.444,7.603,3.774,2.544,2.761,1.531,3.454,4.065,2.708,3.707,1.619,3.589,0.134,2.795,4.747,0.306,0.36
7/1/23,1.381,1.176,0.135,0.962,0.524,1.163,0.504,3.235,1.163,1.196,2.795,1.264,1.023,0.364,0.653,1.585,2.482,0.478,1.746,0.381,2.038,1.079,1.78,2.332,0.71,0.023,1.124,0.174,1.031,1.034,1.198,0.965,2.918,3.128,2.635,1.094,1.349,0.48,2.834,2.211,0.954,1.442,0.195,1.748,1.578,0.678,1.025,0.319,1.638,0.277,0.456,0.218,1.955,4.816,0.313,0.401,1.654,0.277,0.686,2.028,0.288,0.649,1.58,4.601,1.134,0.836,3.731,0.589,1.752,1.777,0.289,1.04,1.293,1.281,2.09,0.311,0.27,0.455,0.088,1.22,0.145,0.223,1.366,0.476,0.784,1.304,0.239,0.469,1.125,0.122,1.468,0.463,0.116,5.081,1.958,0.726,0.186,2.272,1.384,3.54,1.73,1.34,0.228,0.529,0.64,8.952,1.969,0.147,0.873,0.813,3.831,1.452,0.77,0.298,0.378,1.264,0.299,1.032,0.586,4.003,0.266,0.469,0.769,1.874,0.246,1.701,0.131,2.243,2.303,4.51,0.323,1.555,0.442,1.435,0.283,2.457,1.337,2.05,1.882,1.978,0.294,0.335,0.227,0.806,0.652,0.33,0.347,2.133,0.711,3.12,1.286,2.37,0.188,3.677,0.534,3.148,0.202,5.252,1.96,0.869,0.254,0.351,0.316,0.778,0.101,0.403,2.254,0.709,0.229,1.21,0.511,1.184,0.861,2.643,6.409,1.974,4.733,1.191,0.579,0.057,1.037,0.546,2.068,1.625,0.979,1.075,0.413,0.02,0.023,0.826,1.404,1.519,0.141,1.798,1.508,0.28,1.323,2.401,0.262,0.637,0.098,0.518,1.25,1.375,2.242,0.693,1.841,0.407,2.99,1.1,0.17,0.245,1.466,0.409,0.443,1.623,1.124,4.074,4.366,0.722,0.105,0.893,0.811,0.122,0.285,1.227,0.628,2.455,2.266,0.962,0.429
8/1/23,0.896,2.664,2.03,0.603,0.165,0.678,1.869,2.012,0.354,0.871,0.638,1.819,2.664,1.006,1.902,6.125,2.594,4.172,2.343,2.294,1.063,0.577,3.223,1.979,1.759,0.609,0.27,0.579,1.467,3.218,0.131,0.634,8.061,9.724,2.044,1.067,2.906,0.718,0.431,0.614,6.569,0.668,2.147,0.177,2.474,1.147,2.675,0.89,0.547,1.106,0.579,0.791,0.964,1.201,3.976,0.049,0.931,1.106,3.123,1.092,2.131,2.676,5.261,4.03,0.59,1.511,4.343,3.325,1.255,2.653,0.635,1.548,2.081,0.224,1.895,0.31,0.525,0.261,6.233,2.845,0.806,0.911,0.508,3.067,2.242,1.691,1.033,0.387,0.072,1.091,0.841,2.487,0.605,0.452,5.39,1.336,2.45,2.955,0.778,0.807,6.123,3.305,1.785,0.407,0.965,0.778,3.837,0.78,1.108,0.762,0.797,3.214,1.241,0.644,0.648,1.885,3.641,2.368,2.446,0.672,0.095,3.56,1.281,2.531,1.083,1.164,0.336,3.566,1.503,1.322,0.97,1.566,2.235,4.416,0.298,1.122,0.28,2.865,0.717,0.652,0.98,1.156,0.765,0.671,3.327,1.024,0.593,2.765,1.2,0.764,1.73,3.625,1.006,7.042,0.797,2.919,1.393,4.506,9.59,0.637,0.905,5.36,5.733,0.85,0.444,1.174,0.728,0.481,0.897,1.5,1.906,0.265,0.882,4.642,3.092,1.04,0.467,2.173,0.338,2.716,0.691,3.675,2.353,1.011,1.854,3.135,1.165,0.813,0.576,3.724,1.279,0.736,2.578,1.109,8.241,0.972,1.79,0.706,0.713,1.036,0.93,2.896,2.426,0.932,2.661,0.93,0.937,1.989,2.791,1.189,0.482,3.233,1.308,0.798,3.069,1.011,2.913,0.887,0.116,0.576,2.327,0.958,2.892,1.835,1.519,1.367,3.527,4.567,0.516,1.578,0.142
9/1/23,1.571,4.968,3.813,2.454,5.28,3.615,4.896,3.738,4.022,2.607,4.836,5.083,2.825,3.462,0.287,3.333,2.39,2.825,4.852,0.97,1.829,1.69,2.882,1.178,1.672,1.121,0.463,0.902,1.104,2.161,2.005,1.869,4.544,5.058,4.214,4.184,0.481,5.26,1.628,1.188,7.513,3.219,3.523,4.013,2.055,2.4,1.278,3.286,4.073,1.949,0.381,2.31,2.202,6.721,5.168,1.739,0.657,1.949,1.313,3.862,1.76,1.924,4.768,4.55,1.101,0.486,2.43,0.904,0.97,3.951,3.003,4.807,0.693,2.471,2.021,4.762,2.031,1.854,4.468,3.825,4.823,1.982,4.313,3.863,2.588,1.718,1.557,7.037,4.453,4.779,5.057,3.248,2.51,2.505,3.885,3.152,1.707,2.926,1.269,4.417,4.821,5.957,3.557,1.624,3.155,2.236,3.652,5.994,6.44,1.137,3.748,2.657,3.583,2.586,5.372,0.338,0.74,2.27,2.391,7.916,2.411,5.129,6.857,1.908,0.54,1.082,4.899,0.551,4.706,0.442,2.559,4.893,1.942,5.203,2.538,5.518,5.355,6.09,7.122,2.238,0.324,1.783,0.927,1.308,0.801,1.333,8.777,5.518,4.159,4.086,2.939,2.289,2.772,1.554,4.431,4.004,8.834,4.036,3.496,1.239,0.894,2.704,0.473,4.012,2.458,1.943,3.678,4.765,0.816,1.303,0.528,4.524,2.265,5.635,4.138,2.299,0.573,1.597,0.645,6.488,4.524,8.155,6.408,0.687,2.502,1.999,3.841,5.045,4.624,4.818,2.157,3.362,1.827,1.344,3.514,4.273,1.67,1.82,2.729,4.891,0.333,2.777,1.521,1.917,3.472,1.366,5.272,2.933,2.451,0.607,4.298,3.565,3.375,3.75,0.837,3.992,3.469,1.638,2.451,9.637,3.9,1.834,6.145,3.676,4.132,3.157,4.039,2.397,2.914,1.453,2.48
10/1/23,0.834,6.536,6.513,2.695,1.919,1.416,1.257,4.216,0.076,7.852,0.584,2.821,3.754,1.766,1.376,1.189,4.841,8.249,4.619,1.575,1.062,0.686,0.785,0.719,1.062,2.535,1.214,1.128,7.815,1.456,3.091,0.794,2.416,1.756,1.071,3.588,1.995,3.15,1.792,6.914,0.961,3.937,6.489,3.141,0.421,5.25,8.39,2.284,2.363,3.474,0.683,3.476,0.318,2.914,0.803,2.584,4.823,3.474,8.339,2.128,2.37,0.27,3.012,6.219,7.463,5.251,2.764,6.49,3.523,8.71,2.69,2.758,4.224,2.218,1.761,5.267,0.687,6.933,3.415,1.051,7.224,4.061,1.14,2.765,6.901,1.093,6.999,3.862,0.182,9.055,2.75,1.486,7.622,0.646,2.507,1.388,1.665,0.95,7.936,7.936,1.171,7.251,1.554,0.157,0.883,0.499,3.38,3.185,3.893,1.221,6.621,0.48,3.186,0.636,2.612,3.071,5.018,0.465,1.057,4.108,4.132,3.041,3.312,4.138,1.359,2.838,3.836,0.819,0.308,0.878,5.2,2.865,8.923,0.646,2.763,0.787,1.966,2.348,1.06,3.598,1.777,4.392,4.325,0.598,1.152,2.956,7.72,8.047,3.79,0.669,5.402,1.648,0.589,0.665,9.323,8.566,1.952,2.036,1.937,0.261,1.11,1.84,3.017,2.661,3.198,4.316,1.543,0.969,2.016,4.256,5.415,1.463,0.932,6.659,3.569,3.384,2.166,1.585,3.422,2.623,1.146,0.633,2.088,1.051,1.892,0.641,2.852,4.136,1.021,7.554,7.607,12.975,2.468,6.213,0.464,2.595,3.677,8.024,1.703,0.925,2.27,6.217,2.619,1.434,5.562,5.482,0.079,2.42,4.91,2.803,2.781,3.509,3.59,3.935,2.018,0.726,7.045,1.143,0.368,3.912,3.549,1.784,7.948,0.583,5.006,3.162,1.52,2.788,0.946,0.649,5.645
11/1/23,1.169,3.472,3.237,4.086,4.724,1.32,2.354,2.121,0.466,1.419,1.775,6.926,4.126,1.155,0.656,1.203,4.54,1.526,1.872,0.14,1.105,1.178,0.708,2.855,1.096,1.773,2.798,1.708,0.291,2.587,1.654,1.999,2.151,1.304,1.472,2.666,0.099,2.23,2.065,0.923,2.11,0.669,0.894,0.987,2.916,0.078,0.129,7.669,4.124,0.928,1.549,2.261,1.024,2.387,0.656,2.22,2.742,0.928,5.118,2.359,2.258,2.344,0.017,0.84,2.236,2.959,7.563,1.349,4.977,2.945,2.831,3.516,0.998,1.205,4.509,4.697,0.413,5.919,2.965,1.66,2.509,0.651,1.418,1.475,2.14,0.945,4.746,1.347,1.735,2.52,2.02,0.726,3.925,0.919,0.805,1.931,2.679,1.103,3.281,4.202,0.691,2.012,2.332,1.512,1.523,2.835,1.5,1.631,5.287,4.026,3.933,4.403,0.468,0.017,0.66,0.231,3.47,1.166,0.759,0.029,2.381,2.844,1.149,1.142,1.84,3.005,1.908,5.74,1.475,0.755,0.27,3.116,3.497,0.758,1.461,0.232,1.942,1.528,0.243,0.622,0.401,0.555,4.187,1.688,1.071,1.829,2.222,3.285,3.162,2.736,2.816,1.089,1.049,2.454,2.08,1.678,4.972,0.196,0.997,1.327,2.578,4.644,0.641,2.006,2.227,0.549,2.62,2.893,0.05,3.819,2.569,2.301,3.896,0.084,1.324,1.126,1.2,4.606,2.429,2.347,2.2,0.014,0.967,0.514,5.567,3.075,4.308,0.047,1.311,3.201,0.657,1.182,1.826,0.113,3.23,3.243,4.374,4.17,4.344,0.015,0.147,1.413,1.065,2.752,0.66,2.11,2.207,2.089,4.078,3.046,0.85,0.789,2.123,4.306,1.22,2.695,3.411,1.025,1.065,0.147,1.979,2.956,3.152,2.418,1.944,0.336,0.824,2.749,2.927,0.683,2.768
12/1/23,0.102,2.035,2.211,0.148,1.416,1.039,0.29,1.673,0.133,0.278,1.066,0.814,1.191,4.569,1.134,6.511,3.005,0.532,0.797,0.649,0.478,0.283,3.429,1.456,0.821,1.435,0.183,2.478,1.313,0.716,2.825,1.737,1.088,1.32,0.942,0.897,0.35,2.589,2.343,1.22,0.339,1.847,1.679,1.103,3.241,0.348,1.181,3.078,2.323,1.221,2.03,0.617,0.047,6.355,0.98,4.686,0.748,1.221,2.717,2.587,0.801,5.406,0.681,3.86,0.914,1.494,7.389,0.506,2.897,1.798,2.331,0.649,2.832,2.943,2.562,2.328,0.698,1.415,1.687,3.301,1.035,1.345,2.174,1.026,2.229,3.83,0.773,1.413,0.047,0.956,0.335,0.759,0.296,1.396,0.769,0.541,1.034,0.556,2.455,0.13,3.119,0.214,1.355,0.728,3.565,0.708,2.175,0.358,1.752,0.584,1.244,0.619,2.026,0.047,1.648,1.65,1.428,2.871,1.535,3.189,0.31,0.477,0.994,0.708,0.86,0.4,0.818,1.071,3.093,0.267,1.857,0.056,1.114,1.9,2.063,0.498,2.962,1.8,1.671,0.047,0.907,2.169,4.497,1.056,0.654,3.395,3.173,1.16,2.17,1.034,0.559,1.782,1.414,7.162,1.632,1.331,1.522,2.769,2.712,2.075,1.303,0.461,1.14,0.962,0.847,1.523,1.564,1.519,1.317,2.447,2.54,0.672,1.095,1.008,2.137,1.019,0.868,0.877,3.17,0.379,1.914,0.804,1.009,1.373,3.472,0.89,0.143,2.297,1.194,0.103,1.389,0.718,0.698,3.694,1.05,8.259,3.805,0.954,4.541,1.551,0.432,7.642,2.237,8.72,1.202,0.695,1.21,0.622,0.962,1.664,1.656,0.209,0.329,2.019,2.511,2.111,0.614,0.263,0.695,1.242,0.593,1.167,0.692,1.452,0.714,1.593,0.978,0.927,1.415,3.494,1.566
1/1/24,1.042,1.996,1.028,2.613,1.263,1.203,3.612,3.166,1.615,0.509,0.88,0.49,2.042,0.994,0.013,1.422,0.594,1.116,1.962,1.449,5.336,0.014,0.886,0.987,2.654,0.725,2.104,0.333,2.915,1.442,0.652,0.756,0.438,0.016,0.52,0.558,1.354,0.701,4.273,1.344,0.641,0.822,1.134,3.774,0.131,1.234,1.196,1.365,0.061,1.378,0.895,3.099,0.224,1.744,0.481,0.287,1.391,1.378,0.599,0.4,4.181,0.531,1.332,2.737,0.73,0.821,1.163,1.249,3.494,0.435,1.308,1.601,2.788,0.857,0.357,2.627,1.283,2.172,0.402,0.718,1.211,0.165,5.308,0.706,4.01,2.3,3.7,5.832,0.739,0.822,0.813,0.749,0.782,1.124,0.655,0.216,2.987,1.066,0.842,0.48,1.822,0.67,2.954,1.651,1.579,1.001,2.453,5.459,0.714,0.11,1.986,1.132,0.622,0.213,0.589,0.674,1.028,1.242,2.576,0.583,0.68,5.597,0.591,0.363,1.262,1.241,0.622,3.165,1.574,2.66,0.284,0.999,0.362,0.569,0.07,0.374,1.156,1.133,0.746,5.621,0.87,1.446,2.313,0.023,2.247,1.345,0.294,5.584,1.438,1.183,0.841,1.288,1.912,1.648,1.757,3.321,0.657,2.764,1.237,2.282,0.587,0.489,1.095,0.338,1.844,0.532,0.044,0.404,5.75,2.466,1.069,1.265,0.5,1.521,0.884,0.364,0.925,1.016,3.59,0.104,0.057,0.811,1.116,0.967,3.091,2.208,1.152,1.154,0.017,0.7,1.276,0.654,5.469,0.792,0.584,0.404,3.123,0.937,1.408,1.243,2.271,1.949,0.488,0.279,0.366,1.115,0.215,3.201,3.08,1.793,2.691,1.344,3.072,1.423,1.921,1.956,0.085,0.485,2.32,0.781,1.127,5.405,1.263,0.43,1.24,0.638,0.013,1.764,1.168,1.566,1.757
