Date,access1-0.1.rcp45,access1-0.1.rcp85,access1-3.1.rcp45,access1-3.1.rcp85,bcc-csm1-1.1.rcp26,bcc-csm1-1.1.rcp45,bcc-csm1-1.1.rcp60,bcc-csm1-1.1.rcp85,bcc-csm1-1-m.1.rcp45,bcc-csm1-1-m.1.rcp85,canesm2.1.rcp26,canesm2.2.rcp26,canesm2.3.rcp26,canesm2.4.rcp26,canesm2.5.rcp26,canesm2.1.rcp45,canesm2.2.rcp45,canesm2.3.rcp45,canesm2.4.rcp45,canesm2.5.rcp45,canesm2.1.rcp85,canesm2.2.rcp85,canesm2.3.rcp85,canesm2.4.rcp85,canesm2.5.rcp85,ccsm4.1.rcp26,ccsm4.2.rcp26,ccsm4.3.rcp26,ccsm4.4.rcp26,ccsm4.5.rcp26,ccsm4.1.rcp45,ccsm4.2.rcp45,ccsm4.3.rcp45,ccsm4.4.rcp45,ccsm4.5.rcp45,ccsm4.1.rcp60,ccsm4.2.rcp60,ccsm4.3.rcp60,ccsm4.4.rcp60,ccsm4.5.rcp60,ccsm4.1.rcp85,ccsm4.2.rcp85,ccsm4.3.rcp85,ccsm4.4.rcp85,ccsm4.5.rcp85,cesm1-bgc.1.rcp45,cesm1-bgc.1.rcp85,cesm1-cam5.1.rcp26,cesm1-cam5.2.rcp26,cesm1-cam5.3.rcp26,cesm1-cam5.1.rcp45,cesm1-cam5.2.rcp45,cesm1-cam5.3.rcp45,cesm1-cam5.1.rcp60,cesm1-cam5.3.rcp60,cesm1-cam5.1.rcp85,cesm1-cam5.2.rcp85,cesm1-cam5.3.rcp85,cmcc-cm.1.rcp45,cmcc-cm.1.rcp85,cnrm-cm5.1.rcp45,cnrm-cm5.1.rcp85,cnrm-cm5.2.rcp85,cnrm-cm5.4.rcp85,cnrm-cm5.6.rcp85,cnrm-cm5.10.rcp85,csiro-mk3-6-0.1.rcp26,csiro-mk3-6-0.2.rcp26,csiro-mk3-6-0.3.rcp26,csiro-mk3-6-0.4.rcp26,csiro-mk3-6-0.5.rcp26,csiro-mk3-6-0.6.rcp26,csiro-mk3-6-0.7.rcp26,csiro-mk3-6-0.8.rcp26,csiro-mk3-6-0.9.rcp26,csiro-mk3-6-0.10.rcp26,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp60,csiro-mk3-6-0.2.rcp60,csiro-mk3-6-0.3.rcp60,csiro-mk3-6-0.4.rcp60,csiro-mk3-6-0.5.rcp60,csiro-mk3-6-0.6.rcp60,csiro-mk3-6-0.7.rcp60,csiro-mk3-6-0.8.rcp60,csiro-mk3-6-0.9.rcp60,csiro-mk3-6-0.10.rcp60,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,ec-earth.8.rcp26,ec-earth.12.rcp26,ec-earth.2.rcp45,ec-earth.8.rcp45,ec-earth.12.rcp45,ec-earth.6.rcp85,ec-earth.8.rcp85,ec-earth.12.rcp85,fgoals-g2.1.rcp26,fgoals-g2.1.rcp45,fgoals-g2.1.rcp85,fgoals-s2.2.rcp45,fgoals-s2.2.rcp85,fgoals-s2.3.rcp85,fio-esm.1.rcp26,fio-esm.2.rcp26,fio-esm.3.rcp26,fio-esm.1.rcp45,fio-esm.2.rcp45,fio-esm.3.rcp45,fio-esm.1.rcp60,fio-esm.2.rcp60,fio-esm.3.rcp60,fio-esm.1.rcp85,fio-esm.2.rcp85,fio-esm.3.rcp85,gfdl-cm3.1.rcp26,gfdl-cm3.1.rcp45,gfdl-cm3.1.rcp60,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp26,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp60,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp26,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp60,gfdl-esm2m.1.rcp85,giss-e2-h-cc.1.rcp45,giss-e2-r.1.rcp26,giss-e2-r.1.rcp45,giss-e2-r.2.rcp45,giss-e2-r.3.rcp45,giss-e2-r.4.rcp45,giss-e2-r.5.rcp45,giss-e2-r.1.rcp60,giss-e2-r.1.rcp85,giss-e2-r-cc.1.rcp45,hadgem2-ao.1.rcp26,hadgem2-ao.1.rcp45,hadgem2-ao.1.rcp60,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp45,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp26,hadgem2-es.2.rcp26,hadgem2-es.3.rcp26,hadgem2-es.4.rcp26,hadgem2-es.1.rcp45,hadgem2-es.2.rcp45,hadgem2-es.3.rcp45,hadgem2-es.4.rcp45,hadgem2-es.1.rcp60,hadgem2-es.2.rcp60,hadgem2-es.3.rcp60,hadgem2-es.4.rcp60,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,inmcm4.1.rcp45,inmcm4.1.rcp85,ipsl-cm5a-lr.1.rcp26,ipsl-cm5a-lr.2.rcp26,ipsl-cm5a-lr.3.rcp26,ipsl-cm5a-lr.1.rcp45,ipsl-cm5a-lr.2.rcp45,ipsl-cm5a-lr.3.rcp45,ipsl-cm5a-lr.4.rcp45,ipsl-cm5a-lr.1.rcp60,ipsl-cm5a-lr.1.rcp85,ipsl-cm5a-lr.2.rcp85,ipsl-cm5a-lr.3.rcp85,ipsl-cm5a-lr.4.rcp85,ipsl-cm5a-mr.1.rcp26,ipsl-cm5a-mr.1.rcp45,ipsl-cm5a-mr.1.rcp60,ipsl-cm5a-mr.1.rcp85,ipsl-cm5b-lr.1.rcp45,ipsl-cm5b-lr.1.rcp85,miroc-esm.1.rcp26,miroc-esm.1.rcp45,miroc-esm.1.rcp60,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp26,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp60,miroc-esm-chem.1.rcp85,miroc5.1.rcp26,miroc5.1.rcp45,miroc5.1.rcp60,miroc5.1.rcp85,mpi-esm-lr.1.rcp26,mpi-esm-lr.2.rcp26,mpi-esm-lr.3.rcp26,mpi-esm-lr.1.rcp45,mpi-esm-lr.2.rcp45,mpi-esm-lr.3.rcp45,mpi-esm-lr.1.rcp85,mpi-esm-lr.2.rcp85,mpi-esm-lr.3.rcp85,mpi-esm-mr.1.rcp26,mpi-esm-mr.1.rcp45,mpi-esm-mr.1.rcp85,mri-cgcm3.1.rcp26,mri-cgcm3.1.rcp45,mri-cgcm3.1.rcp85,noresm1-m.1.rcp26,noresm1-m.1.rcp45,noresm1-m.1.rcp60,noresm1-m.1.rcp85,noresm1-me.1.rcp26,noresm1-me.1.rcp45,noresm1-me.1.rcp60,noresm1-me.1.rcp85
4/1/23,21.41,20.526,20.355,20.805,24.851,22.336,19.9,19.244,19.584,21.658,21.428,21.765,21.127,21.662,24.238,23.14,22.213,21.129,22.175,23.916,21.452,23.187,21.754,22.692,20.803,21.501,20.269,22.184,22.041,23.791,20.963,23.258,23.131,20.488,22.636,21.351,20.96,21.017,22.71,19.114,19.559,19.784,23.523,22.686,21.851,19.213,22.784,24.495,21.722,22.518,23.394,19.22,21.248,21.422,23.376,22.311,21.44,22.518,20.775,23.171,21.581,21.778,20.711,20.815,20.253,17.716,20.719,20.323,21.529,21.979,25.087,19.751,21.494,20.012,20.975,17.225,22.773,23.201,24.941,21.482,22.47,19.336,20.067,22.582,20.17,24.867,21.548,20.286,19.935,22.624,21.655,26.301,21.191,21.847,21.116,21.289,21.409,21.343,21.553,20.055,19.556,19.11,20.626,23.191,21.824,20.271,21.266,21.712,20.516,24.141,19.425,21.3,20.889,20.41,19.724,23.476,21.313,21.303,21.889,17.282,21.647,19.46,20.903,19.903,20.759,21.138,25.229,20.851,18.027,21.646,17.946,21.779,22.527,19.854,23.91,21.469,22.236,21.43,20.558,21.512,21.783,22.402,21.497,20.648,20.587,19.788,20.395,19.945,19.343,20.499,17.277,22.388,21.483,24.126,20.633,23.712,19.635,20.933,21.524,21.379,21.775,22.983,24.2,20.567,22.955,20.11,23.947,23.354,22.012,21.584,18.627,24.008,21.262,20.978,20.639,23.689,19.477,20.309,20.594,22.208,25.798,20.91,21.611,23.97,21.116,21.86,20.64,21.068,20.752,21.886,23.139,23.145,20.16,19.535,21.252,22.228,19.777,22.256,20.175,22.795,21.882,21.262,21.926,20.746,21.2,21.654,24.925,21.638,24.737,24.974,20.417,22.406,25.18,22.284,22.458,19.589,22.466,21.339,20.124,20.966,18.799,18.794,20.56,21.244,21.636,20.31,21.048,22.449,20.886,20.681,19.175
5/1/23,24.175,23.76,24.679,24.632,25.943,26.548,25.606,24.15,23.344,25.724,23.542,25.573,24.386,28.041,27.107,26.311,24.636,26.044,27.089,28.313,24.48,25.796,27.531,25.409,26.477,26.153,24.964,24.767,25.816,25.334,26.198,23.9,25.775,24.26,24.252,24.954,24.353,24.113,25.55,24.434,24.843,23.498,26.105,26.942,27.432,24.715,24.706,28.164,24.91,26.109,28.628,25.203,25.072,25.205,25.959,23.285,25.838,26.109,24.665,25.454,27.939,23.631,24.657,22.743,25.252,23.399,23.454,25.51,23.528,23.97,27.074,22.742,25.567,26.262,25.077,22.095,26.466,26.678,26.177,26.399,28.669,23.726,24.54,26.622,24.111,27.383,26.71,24.008,24.729,25.797,27.757,27.247,25.672,23.714,25.387,25.482,25.543,24.293,24.151,24.989,24.62,23.716,25.355,24.272,26.255,25.356,24.083,25.982,26.353,25.436,22.798,26.964,23.505,25.499,23.616,25.968,25.841,25.269,24.536,24.133,24.897,24.999,25.807,23.177,25.327,23.044,26.262,24.115,23.794,24.954,23.256,24.124,25.244,25.828,27.008,23.73,25.521,24.18,24.028,26.427,24.81,27.555,25.959,25.401,25.026,24.243,24.134,24.731,25.853,24.427,26.217,25.817,27.753,26.917,25.133,25.853,27.325,24.354,24.878,26.859,25.726,25.801,26.426,23.976,23.872,26.09,27.249,26.261,26.933,24.427,23.35,25.478,25.587,23.848,23.076,27.052,23.134,25.843,24.725,26.584,24.326,23.458,25.591,25.907,25.691,25.35,25.067,26.249,25.902,26.013,26.591,25.121,26.403,23.748,22.554,23.621,23.96,27.075,22.655,26.278,28.212,26.651,27.418,24.849,23.973,27.102,25.824,25.765,26.53,24.238,26.21,25.299,28.703,25.801,26.82,26.809,25.341,23.776,23.81,23.804,23.6,24.059,23.191,23.92,23.51,24.03,25.018,24.605,25.192,24.851,26.514
6/1/23,28.733,29.39,29.903,29.387,27.598,31.549,28.009,28.571,27.626,29.112,27.739,28.318,29.542,31.152,29.056,27.871,29.199,28.124,27.73,27.439,28.396,29.276,29.103,30.31,28.093,30.036,28.945,30.222,27.797,28.754,29.915,29.521,28.623,27.123,28.687,28.938,28.916,29.067,28.737,27.389,27.472,29.31,27.361,29.325,28.141,31.541,29.678,30.341,27.471,28.481,31.8,28.211,28.172,27.576,30.61,29.111,31.219,28.481,27.698,29.159,27.042,27.175,29.172,28.683,28.838,29.768,30.305,28.213,30.509,29.054,29.377,28.292,29.217,30.782,29.106,28.36,30.45,29.418,27.513,27.913,27.751,29.969,29.878,29.172,26.973,29.266,29.705,28.424,29.684,27.792,28.197,28.329,28.004,30.915,26.593,28.862,28.602,30.472,28.568,27.313,28.653,27.596,31.249,27.686,27.657,28.511,26.563,28.089,29.848,27.941,27.779,29.069,26.975,29.151,27.285,28.608,28.735,27.144,29.53,29.195,30.139,29.473,29.27,28.466,27.972,27.52,28.709,26.969,29.387,29.977,27.613,28.201,30.48,28.09,30.027,28.541,31.464,28.52,28.867,27.911,28.093,30.241,29.404,30.038,26.574,28.094,28.089,29.36,30.889,27.245,27.147,27.935,29.767,27.321,28.648,29.247,27.616,30.027,29.85,30.672,28.804,30.395,30.838,28.566,28.231,29.906,28.477,29.205,32.062,28.783,28.01,27.421,28.219,29,28.798,30.892,26.02,28.748,29.19,28.853,27.577,28.021,27.704,29.644,28.852,27.781,30.619,30.42,31.923,31.828,28.833,30.044,29.753,28.217,30.008,29.148,27.288,28.486,26.384,29.848,28.892,28.815,30.471,28.624,28.843,29.062,28.115,30.517,28.896,27.516,29.161,28.954,29.075,27.539,27.945,28.813,29.749,28.756,28.349,29.83,25.815,29.753,27.699,28.438,28.843,26.645,29.83,29.476,28.545,29.279,29.997
7/1/23,30.362,31.143,31.522,30.572,30.614,32.127,30.843,28.693,30.052,30.713,29.229,30.649,30.933,31.868,32.46,31.017,29.994,31.58,30.522,32.607,30.356,31.212,30.682,30.321,31.118,31.086,30.61,32.07,29.69,30.318,31.2,30.627,28.592,28.402,30.163,30.812,31.786,31.273,30.275,28.514,29.14,29.732,30.168,30.385,30.337,30.884,30.494,32.284,29.92,31.486,32.345,31.512,28.552,29.103,31.719,31.373,31.576,31.486,29.595,29.299,30.505,30.461,30.089,26.382,29.532,29.392,28.922,29.945,32.09,30.442,30.582,30.491,31.057,30.547,30.518,31.091,31.399,32.403,28.923,31.337,30.313,30.35,30.599,30.612,30.845,31.724,30.573,31.75,31.554,31.828,31.45,30.683,30.936,27.223,28.214,31.186,32.576,29.879,31.094,27.594,29.876,29.69,32.028,30.218,30.767,28.168,28.996,31.423,30.419,30.705,28.606,31.152,29.164,31.244,30.763,31.025,30.575,31.655,31.753,29.405,30.965,31.207,31.209,29.898,31.547,28.517,31.252,27.753,29.529,29.353,31.281,30.586,31.725,31.185,32.01,29.732,30.995,29.836,29.72,28.656,30.988,31.326,31.447,31.821,29.633,29.692,30.033,29.495,31.435,28.688,29.349,28.56,31.231,28.941,30.271,29.901,30.911,27.807,30.229,31.343,31.558,32.596,30.936,30.946,32.115,30.815,29.049,30.564,32.165,29.989,30.23,30.166,30.416,29.767,28.985,30.721,27.881,30,31.963,32.742,30.457,30.91,28.507,30.076,30.443,30.308,31.557,32.153,32.368,31.147,30.763,30.603,31.944,30.703,30.071,30.866,29.817,31.25,30.126,31.985,31.193,31.764,30.264,31.326,29.85,31.153,29.514,32.113,29.923,29.979,31.792,31.777,29.97,29.892,30.78,30.865,31.625,29.192,29.057,31.844,29.816,30.909,30.923,31.585,32.477,29.034,31.484,29.972,31.727,31.487,31.06
8/1/23,30.782,29.18,30.247,31.393,32.448,31.811,30.023,29.244,30.574,29.893,30.967,31.777,30.084,32.774,31.67,28.25,30.602,29.436,30.342,30.893,30.949,31.867,29.572,31.007,30.861,31.207,30.57,32.122,30.089,29.675,31.585,31.329,26.317,28.502,29.37,30.2,29.747,31.282,30.89,31.273,29.506,30.74,30.597,31.445,29.884,31.008,29.502,32.587,31.214,30.636,32.106,31.632,29.276,28.68,29.849,31.771,30.959,30.636,28.962,29.38,30.015,28.208,27.629,26.586,32.146,29.806,28.747,29.126,30.871,29.567,31.111,30.544,30.023,32.032,30.219,31.028,31.968,31.778,27.884,30.912,31.206,30.795,31.187,30.902,29.801,30.284,30.498,31.407,30.993,31.92,30.553,30.188,31.783,30.618,28.657,30.767,30.47,29.861,30.557,29.725,29.186,29.411,30.964,29.86,31.295,29.441,28.948,31.11,31.194,31.108,29.021,29.955,29.687,32.055,29.991,29.416,29.124,31.003,30.295,31.443,32.666,31.091,31.399,28.979,30.204,31.056,31.345,29.977,29.299,29.794,30.579,30.12,31.268,30.381,33.213,30.983,30.845,28.973,30.177,31.425,29.706,29.691,30.66,31.651,29.368,29.977,31.317,29.054,31.401,29.509,28.659,28.597,32.492,27.312,30.153,29.725,31.469,28.008,28.576,31.149,31.95,29.75,28.915,30.867,31.288,30.899,32.06,31.76,31.314,29.874,29.448,31.446,31.627,29.227,29.016,30.827,29.943,29.116,32.561,31.521,31.654,29.851,29.549,30.335,30.06,28.926,32.235,32.365,32.781,30.371,29.778,32.319,31.772,31.574,28.976,30.772,30.196,30.37,29.455,31.244,30.528,29.84,30.058,32.348,30.431,31.992,30.464,31.757,29.821,30.32,31.058,30.26,31.189,30.946,29.303,31.335,31.175,31.026,30.369,31.696,29.3,30.491,29.908,30.356,30.402,28.998,30.044,28.064,30.947,30.304,31.821
9/1/23,27.428,27.217,25.804,28.957,28.034,28.587,25.657,28.338,28.098,27.297,28.438,27.032,27.507,28.033,30.295,27.168,28.401,27.589,26.529,29.437,28.662,29.694,27.623,29.398,30.16,28.513,28.411,30.085,29.368,26.32,29.099,28.165,26.551,25.439,25.681,27.449,28.504,27.024,28.189,26.552,25.66,26.341,26.482,27.723,28.063,29.08,26.559,28.902,28.422,26.807,30.699,29.832,26.976,27.108,25.756,28.597,28.561,26.807,26.708,27.095,27.747,26.652,25.519,25.092,27.371,29.221,25.826,27.737,28.349,27.295,28.545,26.848,28.711,28.309,28.334,26.458,28.398,28.842,27.019,28.388,27.327,28.859,27.707,25.812,25.608,27.836,28.433,26.079,26.669,28.038,26.859,27.141,27.644,25.786,26.9,26.823,28.054,26.462,29.82,24.912,26.041,25.995,26.496,28.182,26.29,27.557,25.939,27.182,26.465,27.597,25.897,26.608,27.295,27.724,26.104,28.906,28.134,29.149,28.501,26.022,29.007,24.568,24.965,25.461,29.079,27.079,27.459,26.405,26.37,27.585,26.051,26.001,27.401,25.496,28.8,25.841,27.257,25.191,25.03,29.947,28.304,27.242,29.416,27.933,27.819,28.29,25.736,25.576,26.452,25.526,26.34,25.664,27.609,25.535,26.864,28.284,26.704,27.112,25.301,29.428,29.253,27.678,28.831,26.865,27.703,27.545,27.557,26.861,29.879,29.074,29.021,28.518,29.087,26.418,25.146,29.403,27.401,26.688,28.419,26.296,28.092,25.746,25.867,29.473,28.722,27.415,28.183,28.706,27.882,27.196,28.335,27.359,27.705,28.723,28.285,25.72,26.609,26.991,26.109,27.767,28.771,26.974,27.817,28.061,27.881,28.718,27.893,27.832,27.111,28.114,27.55,27.325,27.848,26.465,27.958,28.162,27.244,26.808,27.837,26.439,24.829,27.79,26.071,28.218,27.194,27.283,27.17,26.355,27.853,25.429,29.063
10/1/23,24.346,19.767,22.898,23.338,22.28,22.435,21.085,22.264,23.566,18.565,23.387,24.14,22.44,24.813,22.388,23.034,23.756,22.37,21.759,23.913,22.458,23.024,22.422,23.334,24.463,22.532,23.503,25.652,24.397,22.293,23.737,24.106,20.63,22.228,21.795,21.68,23.236,21.085,22.942,22.104,20.544,23.976,19.329,24.261,20.753,19.245,22.226,22.632,21.464,23.799,25.131,22.001,22.241,21.44,20.415,24.513,22.316,23.799,22.701,22.977,20.943,22.828,22.775,22.584,23.601,20.626,21.377,22.412,22.488,22.405,21.6,19.595,22.387,22.683,23.079,21.983,24.23,22.778,21.087,21.804,20.905,24.059,21.294,23.364,22.81,22.455,21.814,20.547,21.175,21.434,22.088,24.321,22.375,22.612,22.03,23.412,23.287,22.901,22.699,21.754,23.662,20.409,22.469,23.273,22.742,22.921,21.572,20.849,21.852,21.977,19.977,22.865,20.684,23.472,21.475,22.537,20.465,22.427,23.902,20.676,20.316,20.831,20.112,20.127,22.771,23.745,21.342,21.098,22.254,23.222,19.86,21.862,24.375,22.48,20.326,21.391,21.808,21.627,18.65,18.914,22.201,23.061,21.426,22.436,23.458,21.849,21.948,20.695,21.309,22.595,23.082,22.031,23.244,20.956,21.882,23.206,21.905,22.92,23.869,24.101,26.171,23.88,24.128,19.452,24.951,23.809,21.96,23.025,24.82,23.304,18.961,23.799,23.333,21.523,21.146,24.511,23.094,21.989,23.986,21.614,23.534,22.812,22.257,24.03,22.556,24.684,18.531,24.086,25.406,23.635,22.475,22.551,21.696,24.529,23.427,21.827,20.015,21.315,21.397,20.246,22.826,20.438,25.052,23.104,22.286,22.789,23.373,23.554,22.323,24.902,23.419,23.519,22.808,21.552,23.53,22.015,21.763,22.532,23.549,21.624,22.867,20.064,21.57,21.536,22.353,21.203,21.562,22.234,24.516,23.182,23.512
11/1/23,13.779,12.306,14.252,18.417,14.89,17.542,14.847,12.633,19.264,15.654,19.023,12.637,16.024,16.89,18.1,17.286,13.134,16.561,19.008,15.406,18.927,17.372,18.381,20.512,20.622,16.202,17.478,16.243,17.206,15.958,14.277,19.135,16.003,17.707,17.029,14.857,16.663,15.89,17.374,12.769,14.585,17.433,14.56,16.836,18.147,13.81,12.864,12.099,15.988,15.095,19.143,15.809,14.419,18.311,16.073,15.108,17.367,15.095,14.827,15.748,17.879,16.057,18.302,14.509,14.873,19.818,12.983,15.486,11.372,17.838,17.084,14.427,16.238,16.912,17.474,14.272,17.602,16.656,19.275,18.066,16.591,18.515,15.63,15.542,10.845,17.561,13.085,15.688,15.562,17.157,12.524,17.572,15.987,19.407,19.166,16.329,15.984,19.553,11.255,14.879,16.309,15.444,13.299,17.134,18.23,19.513,15.417,14.619,14.803,15.748,13.805,14.374,17.039,17.095,16.906,18.231,13.128,17.368,19.533,18.125,15.046,15.068,15.899,16.346,16.751,16.834,13.877,14.211,17.969,15.164,15.527,13.254,16.482,16.875,16.119,18.7,14.405,14.451,17.705,15.682,16.462,18.588,14.67,15.747,19.249,17.786,15.561,14.306,12.427,17.105,16.592,16.671,17.554,17.875,17.246,15.628,14.707,15.523,15.576,19.448,19.753,15.982,15.556,18.098,15.076,17.311,18.579,18.736,18.711,14.905,13.698,19.38,19.144,13.058,14.557,18.171,18.203,18.682,14.977,16.086,15.108,19.711,15.334,17.06,13.537,15.362,17.076,16.645,16.186,16.173,18.104,17.341,17.909,14.498,17.154,13.241,14.648,12.303,15.093,17.351,16.899,15.473,16.12,18.858,17.101,14.786,18.21,13.324,15.314,20.237,16.325,15.098,17.111,16.575,12.811,16.334,14.133,17.379,17.447,16.002,15.353,15.116,16.588,18.039,16.746,13.682,18.558,14.277,15.164,17.467,14.57
12/1/23,16.052,14.354,13.154,12.855,12.208,14.837,15.78,10.109,16.947,11.718,12.8,12.865,10.895,9.744,13.058,12.458,9.123,12.041,11.638,12.688,12.541,13.854,10.759,12.886,13.581,10.778,13.84,12.756,13.493,9.576,14.073,10.038,15.649,12.309,9.949,14.099,14.327,9.035,12.285,10.822,14.088,12.067,12.06,14.547,6.314,10.672,13.285,13.584,12.326,15.183,19.08,6.029,12.236,10.274,13.825,7.4,15.101,15.183,6.803,12.589,10.778,10.996,15.173,6.232,13.142,11.85,13.042,11.626,12.475,11.696,10.691,10.529,12.16,10.231,11.094,6.48,14.387,10.719,12.716,10.878,7.532,13.104,11.892,13.072,10.461,9.998,11.775,12.567,14.736,13.212,13.04,12.83,11.419,13.551,12.069,11.937,9.789,12.431,6.479,11.531,11.104,12.506,12.348,11.686,11.153,12.816,13.826,12.397,11.315,15.553,13.33,11.103,12.894,13.36,12.251,9.928,11.799,8.188,11.541,11.793,12.119,14.188,10.53,11.014,11.947,13.688,10.818,10.432,12.407,13.167,11.656,13.422,10.466,9.755,13.176,13.216,7.49,12.071,10.566,13.627,12.782,16.141,7.74,11.395,13.445,12.854,12.374,13.212,11.056,12.505,12.305,10.909,13.763,10.468,14.158,11.908,15.22,12.689,13.525,14.048,12.096,11.579,11.775,11.752,12.472,17.705,13.247,11.092,11.789,15.677,13.085,15.547,13.926,11.575,13.511,14.594,11.14,12.447,11.905,7.738,12.594,14.265,12.17,11.825,13.419,13.87,16.167,7.523,10.354,13.585,11.276,14.579,14.064,11.743,11.251,11.732,10.75,12.017,9.703,13.358,12.86,11.921,13.683,7.323,12.998,7.442,16.531,13.174,10.724,16.28,10.239,13.396,13.501,10.979,12.286,12.604,14.228,16.588,14.765,13.119,8.455,11.786,12.585,14.988,11.308,14.39,15.856,13.394,12.645,13.671,9.808
1/1/24,10.166,10.941,9.831,11.299,11.962,10.103,9.226,13.119,10.634,11.593,10.062,14.171,10.995,11.698,9.58,9.187,9.296,13.063,10.106,11.508,10.455,14.459,13.543,10.925,9.709,12.102,11.409,13.754,9.535,11.532,12.067,8.428,9.788,12.991,15.47,15.946,16.136,10.305,8.977,9.38,11.513,13.184,6.12,15.776,10.853,9.303,11.54,13.127,10.362,10.834,13.705,9.614,11.637,12.625,15.808,11.066,13.789,10.834,10.94,12.224,11.689,11.017,10.591,9.513,11.781,12.169,12.717,8.526,9.859,10.02,10.112,10.049,8.517,11.156,11.471,9.103,11.145,7.232,11.256,11.681,5.992,10.085,9.913,13.942,11.446,8.92,9.691,7.816,11.933,15.008,11.752,10.025,12.81,10.564,14.004,13.426,11.219,10.103,10.709,13.302,6.397,13.5,10.622,12.241,8.388,12.629,7.475,12.34,12.957,13.898,11.158,11.492,10.947,14.969,12.803,10.763,10.602,9.352,10.661,14.287,8.439,8.932,11.977,10.598,10.497,12.849,12.801,5.657,6.911,8.225,10.669,12.182,13.87,7.203,12.971,9.552,6.22,11.07,9.935,5.794,10.458,11.982,8.98,15.67,13.278,11.743,10.909,3.86,10.208,11.003,13.89,13.163,14.821,7.855,8.543,12.434,11.565,10.724,11.032,12.258,6.184,14.121,11.438,6.555,9.175,14.409,11.666,10.598,8.858,11.806,10.838,13.933,11.064,14.094,11.698,8.622,10.162,11.16,10.846,11.591,13.39,11.215,11.906,8.013,8.624,7.66,9.734,7.729,11.986,11.695,11.654,11.608,13.787,9.779,11.094,15.239,9.622,9.841,8.015,10.583,10.855,14.007,11.691,12.759,13.904,9.823,12.535,13.01,11.719,9.901,13.631,12.871,7.86,5.922,11.093,10.949,9.8,11.577,7.817,14.799,10.155,9.431,10.846,12.64,7.614,13.855,13.882,10.468,14.815,9.477,6.972
