datetime,Baron_discharge_m3s,Hueco_discharge_m3s,Jacobs_discharge_m3s,PRCP_mm,T_AVER
11/27/02,2.828853015,2.8316847,,0,43.5
11/28/02,2.828853015,2.724080681,,0,48.5
11/29/02,2.8316847,2.562674654,,0,49.5
11/30/02,2.8316847,2.656120249,,0,59
12/1/02,2.860001547,2.675942042,,0,49.5
12/2/02,2.860001547,2.627803402,,0,60
12/3/02,2.860001547,2.551347915,,5.334,64
12/4/02,2.860001547,2.542852861,,7.366,47.5
12/5/02,2.888318394,2.50037759,,0,43.5
12/6/02,2.888318394,2.565506338,,0,45
12/7/02,2.860001547,2.627803402,,0,46.5
12/8/02,2.860001547,2.627803402,,10.16,51.5
12/9/02,2.973268935,3.143170017,,28.194,46.5
12/10/02,2.973268935,3.68119011,,0,48
12/11/02,3.001585782,3.511289028,,0,44
12/12/02,3.001585782,3.794457498,,10.922,55
12/13/02,3.001585782,3.68119011,,0,52
12/14/02,3.029902629,3.511289028,,0,51
12/15/02,3.058219476,3.511289028,,0,57
12/16/02,3.058219476,3.256437405,,0,64
12/17/02,3.058219476,3.341387946,,0,68.5
12/18/02,3.058219476,3.369704793,,0,69
12/19/02,3.058219476,3.256437405,,0,55.5
12/20/02,3.058219476,3.029902629,,0,52.5
12/21/02,3.058219476,3.001585782,,0,58
12/22/02,3.058219476,2.973268935,,6.096,51
12/23/02,3.086536323,3.11485317,,36.068,61
12/24/02,3.143170017,3.426338487,,0.254,43.5
12/25/02,3.143170017,3.058219476,,0,41.5
12/26/02,3.143170017,3.086536323,,0,46
12/27/02,3.11485317,3.11485317,,0,50.5
12/28/02,3.11485317,3.143170017,,0,53
12/29/02,3.11485317,3.228120558,,0.762,57
12/30/02,3.11485317,3.199803711,,9.652,63.5
12/31/02,3.11485317,3.426338487,,0,53
1/1/03,3.11485317,3.454655334,,0,55
1/2/03,3.086536323,3.256437405,,0,48
1/3/03,3.029902629,3.199803711,,0,52
1/4/03,3.029902629,3.228120558,,0,56
1/5/03,3.029902629,3.228120558,,0,57
1/6/03,3.029902629,3.228120558,,0,56.5
1/7/03,3.029902629,3.199803711,,0,49
1/8/03,3.029902629,3.199803711,,0,56.5
1/9/03,3.058219476,3.313071099,,0,67.5
1/10/03,3.029902629,3.426338487,,0,49
1/11/03,3.029902629,3.454655334,,15.24,43
1/12/03,3.086536323,3.482972181,,22.86,39
1/13/03,3.086536323,3.624556416,,0,42
1/14/03,3.086536323,3.624556416,,0,44.5
1/15/03,3.086536323,3.652873263,,0,44
1/16/03,3.086536323,3.624556416,,0,45.5
1/17/03,3.086536323,3.511289028,,0,37
