DATE,Baron_discharge_m3s,Hueco_discharge_m3s,Jacobs_discharge_m3s,PRCP_mm,T_AVER,"Lovelady Groundwater level above NAVD 1988, meter (Mean)"
3/1/78,1.090655333,,,0.688258065,14.68064516,
4/1/78,0.877822257,,,1.456266667,20.99333333,
5/1/78,0.87416847,,,4.735870968,25.16451613,
6/1/78,0.881597837,,,2.523066667,27.91666667,
7/1/78,0.602874807,,,0.975032258,30.23548387,
8/1/78,0.634845441,,,1.22083871,29.30645161,
9/1/78,0.695650541,,,3.7592,26.12,
10/1/78,0.695132922,,,1.130709677,20.99032258,
11/1/78,0.946726585,,,4.639733333,15.86,
12/1/78,1.032194745,,,2.326967742,9.832258065,
1/1/79,1.809537868,,,1.72883871,4.658064516,
2/1/79,2.239053545,,,3.211285714,9.167857143,
3/1/79,2.385922721,,,3.080774194,16.13225806,
4/1/79,2.69104436,,,2.523066667,19.43333333,
5/1/79,2.909327668,,,5.973096774,21.9,
6/1/79,3.005361362,,,0.702733333,26.55333333,
7/1/79,2.778704793,,,8.636,28.38387097,
8/1/79,2.638947451,,,0.499806452,28.02258065,
9/1/79,2.368232304,,,1.185333333,25.29666667,
10/1/79,1.945641423,,,0.368709677,23.06129032,
11/1/79,1.547987636,,,0.499533333,13.58,
12/1/79,1.289786709,,,2.785806452,11.62580645,
1/1/80,1.089741886,,,0.696451613,10.66774194,
2/1/80,1.037958909,,,2.040758621,11.51724138,
3/1/80,1.001137558,,,2.621935484,16.30967742,
4/1/80,1.185531994,,,1.862666667,19.28,
5/1/80,1.771173108,,,4.449096774,23.93225806,
6/1/80,2.014271717,,,0.262466667,29.23666667,
7/1/80,1.607666152,,,0.229419355,31.0516129,
8/1/80,1.177432767,,,0.96683871,29.97741935,
9/1/80,1.046779444,,,4.792133333,27.6,
10/1/80,1.306228749,,,1.056967742,20.20322581,
11/1/80,1.226119475,,,2.887133333,14.17333333,
12/1/80,1.409448223,,,1.016,12.0516129,
1/1/81,1.371996909,,,1.31916129,10.32258065,
2/1/81,1.492702363,,,1.070428571,11.9,
3/1/81,1.875306029,,,2.499032258,15.14193548,
4/1/81,1.798119784,,,0.6858,22.4,
5/1/81,1.629588873,,,7.390580645,23.6516129,
6/1/81,2.298384081,,,12.66613333,27.45666667,
7/1/81,2.886491501,,,2.777612903,29.4,
8/1/81,2.657216385,,,0.745612903,29.72258065,
9/1/81,2.433361052,,,2.243666667,26.47333333,
10/1/81,2.427941269,,,5.768258065,22.30967742,
11/1/81,2.358793355,,,0.6096,17.57666667,
12/1/81,2.107321485,,,0.319548387,12.0516129,
1/1/82,1.702664607,,,0.696451613,11.04193548,
2/1/82,1.481577888,,,0.725714286,10.525,
3/1/82,1.301661515,,,1.138903226,18.15806452,
4/1/82,1.217624421,,,3.5306,19.59666667,
5/1/82,1.745596601,,,4.653935484,24.20645161,
6/1/82,1.926489491,,,2.531533333,27.55,
7/1/82,1.604012366,,,0.106516129,30.27741935,
8/1/82,1.237720248,,,0.630903226,30.78709677,
9/1/82,1.016574807,,,1.591733333,27.65333333,
10/1/82,0.929888718,,,2.179483871,21.48064516,
11/1/82,0.963716693,,,2.700866667,14.73666667,
12/1/82,1.130846987,,,1.737032258,11.23870968,
1/1/83,1.179259661,,,1.540387097,8.529032258,
2/1/83,1.267178903,,,2.576285714,10.71071429,
3/1/83,1.774826894,,,4.940709677,14.32580645,
4/1/83,2.182285009,,,0.135466667,18.07666667,
5/1/83,2.100013911,,,4.36716129,22.60967742,
6/1/83,2.371063989,,,3.2512,25.74666667,
7/1/83,2.260780527,,,2.33516129,28.16129032,
8/1/83,2.064389491,,,1.810774194,29.09354839,
9/1/83,1.83776337,,,2.396066667,25.74,
10/1/83,1.818672335,,,2.310580645,22.20322581,
11/1/83,1.671637868,,,2.252133333,16.85333333,
12/1/83,1.40214065,,,0.434258065,5.474193548,
1/1/84,1.229499228,,,1.360129032,7.925806452,
2/1/84,1.029170922,,,0.875862069,13.04482759,
3/1/84,0.960945905,,,2.040193548,17.42903226,
4/1/84,0.892924575,,,0.0508,21.70333333,
5/1/84,0.81114065,,,1.040580645,25.55483871,
6/1/84,0.777769398,,,1.430866667,28.08666667,
7/1/84,0.740805255,,,1.179870968,29.46129032,
8/1/84,0.720709428,,,0.368709677,30.01290323,
9/1/84,0.698482226,,,0.668866667,24.6,
