DATE,Baron_discharge_m3s,Hueco_discharge_m3s,Jacobs_discharge_m3s,PRCP_mm,T_AVER,"Lovelady Groundwater level above NAVD 1988, meter (Mean)"
1978-03-01,1.160990727,,,0,10.3,
1978-03-02,1.160990727,,,0.254,16.1,
1978-03-03,1.13267388,,,0.508,4.7,
1978-03-04,1.13267388,,,0,1.9,
1978-03-05,1.13267388,,,0,7.5,
1978-03-06,1.160990727,,,14.224,14.4,
1978-03-07,1.160990727,,,0,11.4,
1978-03-08,1.13267388,,,0,6.1,
1978-03-09,1.13267388,,,0,9.2,
1978-03-10,1.189307574,,,0,13.6,
1978-03-11,1.160990727,,,0,19.4,
1978-03-12,1.189307574,,,0,12.8,
1978-03-13,1.13267388,,,0,20.0,
1978-03-14,1.189307574,,,0,18.9,
1978-03-15,1.160990727,,,0,18.1,
1978-03-16,1.160990727,,,0,12.2,
1978-03-17,1.104357033,,,0,14.7,
1978-03-18,1.104357033,,,0,15.8,
1978-03-19,1.13267388,,,0,18.6,
1978-03-20,1.104357033,,,0,21.4,
1978-03-21,1.104357033,,,0,22.8,
1978-03-22,1.104357033,,,0,21.4,
1978-03-23,1.13267388,,,6.35,19.4,
1978-03-24,0.934455951,,,0,13.6,
1978-03-25,0.962772798,,,0,11.4,
1978-03-26,0.962772798,,,0,13.3,
1978-03-27,0.962772798,,,0,15.3,
1978-03-28,0.962772798,,,0,16.9,
1978-03-29,0.934455951,,,0,16.9,
1978-03-30,0.934455951,,,0,17.8,
1978-03-31,0.877822257,,,0,19.2,
1978-04-01,0.906139104,,,0,21.9,
1978-04-02,0.906139104,,,0,21.9,
1978-04-03,0.906139104,,,0,24.2,
1978-04-04,0.906139104,,,0,24.7,
1978-04-05,0.906139104,,,0,22.8,
1978-04-06,0.906139104,,,0,23.1,
1978-04-07,0.877822257,,,0,23.3,
1978-04-08,0.877822257,,,0,21.9,
1978-04-09,0.877822257,,,0,23.3,
1978-04-10,0.877822257,,,39.37,18.1,
1978-04-11,0.906139104,,,0.762,15.6,
1978-04-12,0.906139104,,,0,15.3,
1978-04-13,0.877822257,,,0,16.7,
1978-04-14,0.84950541,,,0,19.2,
1978-04-15,0.877822257,,,0,22.2,
1978-04-16,0.877822257,,,0,23.1,
1978-04-17,0.877822257,,,1.524,23.6,
1978-04-18,0.877822257,,,0,23.3,
1978-04-19,0.877822257,,,0,18.9,
1978-04-20,0.877822257,,,0,16.9,
1978-04-21,0.84950541,,,0,18.1,
1978-04-22,0.84950541,,,2.032,19.2,
1978-04-23,0.84950541,,,0,20.0,
1978-04-24,0.84950541,,,0,25.0,
1978-04-25,0.84950541,,,0,21.1,
1978-04-26,0.877822257,,,0,18.6,
1978-04-27,0.84950541,,,0,19.2,
1978-04-28,0.84950541,,,0,21.1,
1978-04-29,0.877822257,,,0,22.5,
1978-04-30,0.877822257,,,0,25.0,
1978-05-01,0.877822257,,,0,23.9,
1978-05-02,0.84950541,,,54.61,18.6,
1978-05-03,0.84950541,,,1.524,16.1,
1978-05-04,0.84950541,,,0,16.4,
1978-05-05,0.84950541,,,0,24.4,
1978-05-06,0.877822257,,,0.508,23.6,
1978-05-07,0.877822257,,,0,27.2,
1978-05-08,0.877822257,,,0,26.4,
1978-05-09,0.877822257,,,0,25.0,
1978-05-10,0.877822257,,,23.114,26.1,
1978-05-11,0.877822257,,,2.032,25.3,
1978-05-12,0.84950541,,,2.794,28.6,
1978-05-13,0.877822257,,,0,23.1,
1978-05-14,0.877822257,,,0,23.3,
1978-05-15,0.877822257,,,0,25.0,
1978-05-16,0.877822257,,,0,28.1,
1978-05-17,0.877822257,,,0,28.1,
1978-05-18,0.84950541,,,0,26.7,
1978-05-19,0.877822257,,,0,28.3,
1978-05-20,0.877822257,,,12.446,25.0,
1978-05-21,0.877822257,,,0.254,24.4,
1978-05-22,0.906139104,,,0,26.1,
1978-05-23,0.877822257,,,0,26.9,
1978-05-24,0.877822257,,,0,26.9,
1978-05-25,0.84950541,,,3.302,26.9,
1978-05-26,0.84950541,,,45.466,27.2,
1978-05-27,0.877822257,,,0.254,27.5,
1978-05-28,0.877822257,,,0,26.7,
1978-05-29,0.906139104,,,0.508,25.8,
1978-05-30,0.906139104,,,0,25.6,
1978-05-31,0.906139104,,,0,26.9,
1978-06-01,0.906139104,,,9.398,25.3,
1978-06-02,0.877822257,,,1.016,26.9,
1978-06-03,0.877822257,,,22.606,24.7,
1978-06-04,0.877822257,,,0,25.8,
1978-06-05,0.877822257,,,0,26.7,
1978-06-06,0.877822257,,,39.37,26.4,
1978-06-07,0.906139104,,,2.286,25.0,
1978-06-08,0.991089645,,,1.016,26.4,
1978-06-09,0.962772798,,,0,25.3,
1978-06-10,0.991089645,,,0,25.6,
1978-06-11,0.991089645,,,0,27.5,
1978-06-12,0.991089645,,,0,28.9,
1978-06-13,0.991089645,,,0,29.2,
1978-06-14,0.962772798,,,0,28.3,
1978-06-15,0.934455951,,,0,28.9,
1978-06-16,0.906139104,,,0,29.2,
1978-06-17,0.906139104,,,0,28.9,
1978-06-18,0.906139104,,,0,29.2,
1978-06-19,0.877822257,,,0,28.3,
1978-06-20,0.877822257,,,0,28.1,
1978-06-21,0.84950541,,,0,27.8,
1978-06-22,0.821188563,,,0,27.5,
1978-06-23,0.792871716,,,0,28.9,
1978-06-24,0.821188563,,,0,30.3,
1978-06-25,0.792871716,,,0,30.8,
1978-06-26,0.792871716,,,0,30.6,
1978-06-27,0.792871716,,,0,29.7,
1978-06-28,0.764554869,,,0,29.2,
1978-06-29,0.764554869,,,0,29.2,
1978-06-30,0.764554869,,,0,28.9,
1978-07-01,0.736238022,,,0,29.4,
1978-07-02,0.707921175,,,0,30.6,
1978-07-03,0.707921175,,,0,30.3,
1978-07-04,0.707921175,,,0,30.0,
1978-07-05,0.679604328,,,0,31.1,
1978-07-06,0.594653787,,,0,30.6,
1978-07-07,0.679604328,,,0,30.3,
1978-07-08,0.679604328,,,0,30.3,
1978-07-09,0.651287481,,,0,30.6,
1978-07-10,0.651287481,,,0,31.1,
1978-07-11,0.622970634,,,0,30.3,
1978-07-12,0.594653787,,,0,30.8,
1978-07-13,0.56633694,,,0,31.1,
1978-07-14,0.56633694,,,0,31.7,
1978-07-15,0.56633694,,,0,32.5,
1978-07-16,0.56633694,,,1.016,33.6,
1978-07-17,0.56633694,,,0,31.1,
1978-07-18,0.56633694,,,0,31.4,
1978-07-19,0.56633694,,,0,30.0,
1978-07-20,0.56633694,,,0,31.1,
1978-07-21,0.56633694,,,0,30.8,
1978-07-22,0.56633694,,,5.842,30.6,
1978-07-23,0.594653787,,,11.176,29.2,
1978-07-24,0.56633694,,,0,28.3,
1978-07-25,0.538020093,,,0,29.7,
1978-07-26,0.56633694,,,0,30.3,
1978-07-27,0.538020093,,,0,30.6,
1978-07-28,0.538020093,,,0,28.3,
1978-07-29,0.538020093,,,0,29.4,
1978-07-30,0.56633694,,,0,29.4,
1978-07-31,0.56633694,,,12.192,22.8,
1978-08-01,0.538020093,,,36.322,24.2,
1978-08-02,0.594653787,,,0.254,28.1,
1978-08-03,0.56633694,,,0,28.9,
1978-08-04,0.56633694,,,0,27.8,
1978-08-05,0.56633694,,,0,28.6,
1978-08-06,0.594653787,,,0,27.8,
1978-08-07,0.622970634,,,0,28.6,
1978-08-08,0.679604328,,,0,28.3,
1978-08-09,0.707921175,,,0.254,29.2,
1978-08-10,0.679604328,,,0,29.4,
1978-08-11,0.679604328,,,0,29.2,
1978-08-12,0.707921175,,,0,30.3,
1978-08-13,0.679604328,,,0,30.6,
1978-08-14,0.651287481,,,0,30.8,
1978-08-15,0.622970634,,,0,30.8,
1978-08-16,0.622970634,,,0,31.1,
1978-08-17,0.594653787,,,0,31.1,
1978-08-18,0.594653787,,,0,31.7,
1978-08-19,0.622970634,,,0,30.3,
1978-08-20,0.622970634,,,0,30.3,
1978-08-21,0.622970634,,,0,29.7,
1978-08-22,0.622970634,,,0,28.9,
1978-08-23,0.679604328,,,0,29.4,
1978-08-24,0.651287481,,,0,30.0,
1978-08-25,0.651287481,,,0,30.3,
1978-08-26,0.651287481,,,0,30.3,
1978-08-27,0.651287481,,,0,29.7,
1978-08-28,0.651287481,,,0,30.6,
1978-08-29,0.651287481,,,0,28.1,
1978-08-30,0.679604328,,,0.254,27.5,
1978-08-31,0.651287481,,,0.762,26.9,
1978-09-01,0.622970634,,,21.082,26.4,
1978-09-02,0.679604328,,,0,27.8,
1978-09-03,0.679604328,,,0,28.3,
1978-09-04,0.651287481,,,6.35,28.6,
1978-09-05,0.651287481,,,0,27.5,
1978-09-06,0.651287481,,,0,27.2,
1978-09-07,0.651287481,,,17.526,26.1,
1978-09-08,0.651287481,,,9.906,25.0,
1978-09-09,0.679604328,,,0,27.2,
1978-09-10,0.679604328,,,6.096,24.7,
1978-09-11,0.707921175,,,25.908,25.6,
1978-09-12,0.707921175,,,16.002,28.1,
1978-09-13,0.707921175,,,7.874,25.0,
1978-09-14,0.679604328,,,0,26.9,
1978-09-15,0.651287481,,,0,28.3,
1978-09-16,0.736238022,,,0,28.1,
1978-09-17,0.736238022,,,0,28.6,
1978-09-18,0.736238022,,,0,28.3,
1978-09-19,0.736238022,,,0,28.6,
1978-09-20,0.736238022,,,0,27.8,
1978-09-21,0.707921175,,,0.762,24.4,
1978-09-22,0.679604328,,,0,25.8,
1978-09-23,0.707921175,,,0,23.9,
1978-09-24,0.736238022,,,0,26.7,
1978-09-25,0.736238022,,,0,24.4,
1978-09-26,0.736238022,,,0,24.2,
1978-09-27,0.736238022,,,1.27,20.6,
1978-09-28,0.707921175,,,0,22.2,
1978-09-29,0.679604328,,,0,23.1,
1978-09-30,0.707921175,,,0,24.2,
1978-10-01,0.707921175,,,0,24.7,
1978-10-02,0.679604328,,,0,24.4,
1978-10-03,0.679604328,,,9.652,25.3,
1978-10-04,0.679604328,,,0,23.9,
1978-10-05,0.679604328,,,0,25.0,
1978-10-06,0.622970634,,,0,20.8,
1978-10-07,0.622970634,,,0,21.1,
